"","Rainfall","Treatment"
"1",1202.6,"Unseeded"
"2",830.1,"Unseeded"
"3",372.4,"Unseeded"
"4",345.5,"Unseeded"
"5",321.2,"Unseeded"
"6",244.3,"Unseeded"
"7",163,"Unseeded"
"8",147.8,"Unseeded"
"9",95,"Unseeded"
"10",87,"Unseeded"
"11",81.2,"Unseeded"
"12",68.5,"Unseeded"
"13",47.3,"Unseeded"
"14",41.1,"Unseeded"
"15",36.6,"Unseeded"
"16",29,"Unseeded"
"17",28.6,"Unseeded"
"18",26.3,"Unseeded"
"19",26.1,"Unseeded"
"20",24.4,"Unseeded"
"21",21.7,"Unseeded"
"22",17.3,"Unseeded"
"23",11.5,"Unseeded"
"24",4.9,"Unseeded"
"25",4.9,"Unseeded"
"26",1,"Unseeded"
"27",2745.6,"Seeded"
"28",1697.8,"Seeded"
"29",1656,"Seeded"
"30",978,"Seeded"
"31",703.4,"Seeded"
"32",489.1,"Seeded"
"33",430,"Seeded"
"34",334.1,"Seeded"
"35",302.8,"Seeded"
"36",274.7,"Seeded"
"37",274.7,"Seeded"
"38",255,"Seeded"
"39",242.5,"Seeded"
"40",200.7,"Seeded"
"41",198.6,"Seeded"
"42",129.6,"Seeded"
"43",119,"Seeded"
"44",118.3,"Seeded"
"45",115.3,"Seeded"
"46",92.4,"Seeded"
"47",40.6,"Seeded"
"48",32.7,"Seeded"
"49",31.4,"Seeded"
"50",17.5,"Seeded"
"51",7.7,"Seeded"
"52",4.1,"Seeded"
