"","Percent","Judge"
"1",6.4,"Spock's"
"2",8.7,"Spock's"
"3",13.3,"Spock's"
"4",13.6,"Spock's"
"5",15,"Spock's"
"6",15.2,"Spock's"
"7",17.7,"Spock's"
"8",18.6,"Spock's"
"9",23.1,"Spock's"
"10",16.8,"A"
"11",30.8,"A"
"12",33.6,"A"
"13",40.5,"A"
"14",48.9,"A"
"15",27,"B"
"16",28.9,"B"
"17",32,"B"
"18",32.7,"B"
"19",35.5,"B"
"20",45.6,"B"
"21",21,"C"
"22",23.4,"C"
"23",27.5,"C"
"24",27.5,"C"
"25",30.5,"C"
"26",31.9,"C"
"27",32.5,"C"
"28",33.8,"C"
"29",33.8,"C"
"30",24.3,"D"
"31",29.7,"D"
"32",17.7,"E"
"33",19.7,"E"
"34",21.5,"E"
"35",27.9,"E"
"36",34.8,"E"
"37",40.2,"E"
"38",16.5,"F"
"39",20.7,"F"
"40",23.5,"F"
"41",26.4,"F"
"42",26.7,"F"
"43",29.5,"F"
"44",29.8,"F"
"45",31.9,"F"
"46",36.2,"F"
