"","Score","Handicap"
"1",1.9,"None"
"2",2.5,"None"
"3",3,"None"
"4",3.6,"None"
"5",4.1,"None"
"6",4.2,"None"
"7",4.9,"None"
"8",5.1,"None"
"9",5.4,"None"
"10",5.9,"None"
"11",6.1,"None"
"12",6.7,"None"
"13",7.4,"None"
"14",7.8,"None"
"15",1.9,"Amputee"
"16",2.5,"Amputee"
"17",2.6,"Amputee"
"18",3.2,"Amputee"
"19",3.6,"Amputee"
"20",3.8,"Amputee"
"21",4,"Amputee"
"22",4.6,"Amputee"
"23",5.3,"Amputee"
"24",5.5,"Amputee"
"25",5.8,"Amputee"
"26",5.9,"Amputee"
"27",6.1,"Amputee"
"28",7.2,"Amputee"
"29",3.7,"Crutches"
"30",4,"Crutches"
"31",4.3,"Crutches"
"32",4.3,"Crutches"
"33",5.1,"Crutches"
"34",5.8,"Crutches"
"35",6,"Crutches"
"36",6.2,"Crutches"
"37",6.3,"Crutches"
"38",6.4,"Crutches"
"39",7.4,"Crutches"
"40",7.4,"Crutches"
"41",7.5,"Crutches"
"42",8.5,"Crutches"
"43",1.4,"Hearing"
"44",2.1,"Hearing"
"45",2.4,"Hearing"
"46",2.9,"Hearing"
"47",3.4,"Hearing"
"48",3.7,"Hearing"
"49",3.9,"Hearing"
"50",4.2,"Hearing"
"51",4.3,"Hearing"
"52",4.7,"Hearing"
"53",5.5,"Hearing"
"54",5.8,"Hearing"
"55",5.9,"Hearing"
"56",6.5,"Hearing"
"57",1.7,"Wheelchair"
"58",2.8,"Wheelchair"
"59",3.5,"Wheelchair"
"60",4.7,"Wheelchair"
"61",4.8,"Wheelchair"
"62",5,"Wheelchair"
"63",5.3,"Wheelchair"
"64",6.1,"Wheelchair"
"65",6.1,"Wheelchair"
"66",6.2,"Wheelchair"
"67",6.4,"Wheelchair"
"68",7.2,"Wheelchair"
"69",7.4,"Wheelchair"
"70",7.6,"Wheelchair"
