"","Percentage","Pair","Length"
"1",43.7,"Pair1",35
"2",54,"Pair1",35
"3",49.8,"Pair1",35
"4",65.5,"Pair1",35
"5",53.1,"Pair1",35
"6",53,"Pair1",35
"7",62.3,"Pair1",35
"8",49.4,"Pair1",35
"9",45.7,"Pair1",35
"10",56.6,"Pair1",35
"11",59,"Pair1",35
"12",67.8,"Pair1",35
"13",73.3,"Pair1",35
"14",43.8,"Pair1",35
"15",67.4,"Pair1",35
"16",58.1,"Pair1",35
"17",52.5,"Pair2",31
"18",65.6,"Pair2",31
"19",68.5,"Pair2",31
"20",45.9,"Pair2",31
"21",80.2,"Pair2",31
"22",67,"Pair2",31
"23",73,"Pair2",31
"24",71.7,"Pair2",31
"25",55,"Pair2",31
"26",70,"Pair2",31
"27",63.2,"Pair2",31
"28",39.6,"Pair2",31
"29",41,"Pair2",31
"30",59.2,"Pair2",31
"31",91,"Pair3",33
"32",62,"Pair3",33
"33",10,"Pair3",33
"34",83.8,"Pair3",33
"35",91.3,"Pair3",33
"36",56.3,"Pair3",33
"37",83.6,"Pair3",33
"38",53.3,"Pair3",33
"39",36.5,"Pair3",33
"40",65.4,"Pair3",33
"41",48.1,"Pair3",33
"42",50.6,"Pair3",33
"43",40.4,"Pair3",33
"44",90.6,"Pair3",33
"45",74.9,"Pair3",33
"46",56,"Pair3",33
"47",67.5,"Pair3",33
"48",72.2,"Pair4",34
"49",58.5,"Pair4",34
"50",51,"Pair4",34
"51",56.8,"Pair4",34
"52",92.4,"Pair4",34
"53",55.3,"Pair4",34
"54",59.3,"Pair4",34
"55",42,"Pair4",34
"56",68.5,"Pair4",34
"57",78.4,"Pair4",34
"58",69.6,"Pair4",34
"59",89.2,"Pair4",34
"60",67.3,"Pair4",34
"61",77.5,"Pair4",34
"62",78.3,"Pair5",28
"63",66,"Pair5",28
"64",47.7,"Pair5",28
"65",77.5,"Pair5",28
"66",58.3,"Pair5",28
"67",61.1,"Pair5",28
"68",65.1,"Pair5",28
"69",62.9,"Pair5",28
"70",61,"Pair5",28
"71",33.4,"Pair6",34
"72",42.2,"Pair6",34
"73",35.6,"Pair6",34
"74",79.9,"Pair6",34
"75",59,"Pair6",34
"76",58.1,"Pair6",34
"77",64.2,"Pair6",34
"78",82.8,"Pair6",34
"79",75.7,"Pair6",34
"80",66.3,"Pair6",34
"81",56.3,"Pair6",34
"82",84.5,"Pair6",34
"83",61.1,"Pair6",34
"84",87.6,"Pair6",34
