"","Time","Voltage","Group"
"1",5.79,26,"Group1"
"2",1579.52,26,"Group1"
"3",2323.7,26,"Group1"
"4",68.85,28,"Group2"
"5",108.29,28,"Group2"
"6",110.29,28,"Group2"
"7",426.07,28,"Group2"
"8",1067.6,28,"Group2"
"9",7.74,30,"Group3"
"10",17.05,30,"Group3"
"11",20.46,30,"Group3"
"12",21.02,30,"Group3"
"13",22.66,30,"Group3"
"14",43.4,30,"Group3"
"15",47.3,30,"Group3"
"16",139.07,30,"Group3"
"17",144.12,30,"Group3"
"18",175.88,30,"Group3"
"19",194.9,30,"Group3"
"20",0.27,32,"Group4"
"21",0.4,32,"Group4"
"22",0.69,32,"Group4"
"23",0.79,32,"Group4"
"24",2.75,32,"Group4"
"25",3.91,32,"Group4"
"26",9.88,32,"Group4"
"27",13.95,32,"Group4"
"28",15.93,32,"Group4"
"29",27.8,32,"Group4"
"30",53.24,32,"Group4"
"31",82.85,32,"Group4"
"32",89.29,32,"Group4"
"33",100.59,32,"Group4"
"34",215.1,32,"Group4"
"35",0.19,34,"Group5"
"36",0.78,34,"Group5"
"37",0.96,34,"Group5"
"38",1.31,34,"Group5"
"39",2.78,34,"Group5"
"40",3.16,34,"Group5"
"41",4.15,34,"Group5"
"42",4.67,34,"Group5"
"43",4.85,34,"Group5"
"44",6.5,34,"Group5"
"45",7.35,34,"Group5"
"46",8.01,34,"Group5"
"47",8.27,34,"Group5"
"48",12.06,34,"Group5"
"49",31.75,34,"Group5"
"50",32.52,34,"Group5"
"51",33.91,34,"Group5"
"52",36.71,34,"Group5"
"53",72.89,34,"Group5"
"54",0.35,36,"Group6"
"55",0.59,36,"Group6"
"56",0.96,36,"Group6"
"57",0.99,36,"Group6"
"58",1.69,36,"Group6"
"59",1.97,36,"Group6"
"60",2.07,36,"Group6"
"61",2.58,36,"Group6"
"62",2.71,36,"Group6"
"63",2.9,36,"Group6"
"64",3.67,36,"Group6"
"65",3.99,36,"Group6"
"66",5.35,36,"Group6"
"67",13.77,36,"Group6"
"68",25.5,36,"Group6"
"69",0.09,38,"Group7"
"70",0.39,38,"Group7"
"71",0.47,38,"Group7"
"72",0.73,38,"Group7"
"73",0.74,38,"Group7"
"74",1.13,38,"Group7"
"75",1.4,38,"Group7"
"76",2.38,38,"Group7"
