"","Mass","Type","Energy"
"1",779,"non-echolocating bats",43.7
"2",628,"non-echolocating bats",34.8
"3",258,"non-echolocating bats",23.3
"4",315,"non-echolocating bats",22.4
"5",24.3,"non-echolocating birds",2.46
"6",35,"non-echolocating birds",3.93
"7",72.8,"non-echolocating birds",9.15
"8",120,"non-echolocating birds",13.8
"9",213,"non-echolocating birds",14.6
"10",275,"non-echolocating birds",22.8
"11",370,"non-echolocating birds",26.2
"12",384,"non-echolocating birds",25.9
"13",442,"non-echolocating birds",29.5
"14",412,"non-echolocating birds",43.7
"15",330,"non-echolocating birds",34
"16",480,"non-echolocating birds",27.8
"17",93,"echolocating bats",8.83
"18",8,"echolocating bats",1.35
"19",6.7,"echolocating bats",1.12
"20",7.7,"echolocating bats",1.02
