"","Cover","Block","Treat"
"1",14,"B1","C"
"2",23,"B1","C"
"3",22,"B2","C"
"4",35,"B2","C"
"5",67,"B3","C"
"6",82,"B3","C"
"7",94,"B4","C"
"8",95,"B4","C"
"9",34,"B5","C"
"10",53,"B5","C"
"11",58,"B6","C"
"12",75,"B6","C"
"13",19,"B7","C"
"14",47,"B7","C"
"15",53,"B8","C"
"16",61,"B8","C"
"17",4,"B1","L"
"18",4,"B1","L"
"19",7,"B2","L"
"20",8,"B2","L"
"21",28,"B3","L"
"22",58,"B3","L"
"23",27,"B4","L"
"24",35,"B4","L"
"25",11,"B5","L"
"26",33,"B5","L"
"27",16,"B6","L"
"28",31,"B6","L"
"29",6,"B7","L"
"30",8,"B7","L"
"31",15,"B8","L"
"32",17,"B8","L"
"33",11,"B1","f"
"34",24,"B1","f"
"35",14,"B2","f"
"36",31,"B2","f"
"37",52,"B3","f"
"38",59,"B3","f"
"39",83,"B4","f"
"40",89,"B4","f"
"41",33,"B5","f"
"42",34,"B5","f"
"43",39,"B6","f"
"44",52,"B6","f"
"45",43,"B7","f"
"46",53,"B7","f"
"47",30,"B8","f"
"48",37,"B8","f"
"49",3,"B1","Lf"
"50",5,"B1","Lf"
"51",3,"B2","Lf"
"52",6,"B2","Lf"
"53",9,"B3","Lf"
"54",31,"B3","Lf"
"55",21,"B4","Lf"
"56",57,"B4","Lf"
"57",5,"B5","Lf"
"58",9,"B5","Lf"
"59",26,"B6","Lf"
"60",43,"B6","Lf"
"61",4,"B7","Lf"
"62",12,"B7","Lf"
"63",12,"B8","Lf"
"64",18,"B8","Lf"
"65",10,"B1","fF"
"66",13,"B1","fF"
"67",10,"B2","fF"
"68",15,"B2","fF"
"69",44,"B3","fF"
"70",50,"B3","fF"
"71",57,"B4","fF"
"72",73,"B4","fF"
"73",26,"B5","fF"
"74",42,"B5","fF"
"75",38,"B6","fF"
"76",42,"B6","fF"
"77",29,"B7","fF"
"78",36,"B7","fF"
"79",11,"B8","fF"
"80",40,"B8","fF"
"81",1,"B1","LfF"
"82",2,"B1","LfF"
"83",3,"B2","LfF"
"84",5,"B2","LfF"
"85",6,"B3","LfF"
"86",9,"B3","LfF"
"87",7,"B4","LfF"
"88",22,"B4","LfF"
"89",5,"B5","LfF"
"90",6,"B5","LfF"
"91",10,"B6","LfF"
"92",17,"B6","LfF"
"93",5,"B7","LfF"
"94",14,"B7","LfF"
"95",5,"B8","LfF"
"96",7,"B8","LfF"
