"","Minutes","Chimp","Sign","Order"
"1",12,"Booee","listen",8
"2",15,"Booee","drink",4
"3",14,"Booee","shoe",2
"4",10,"Booee","key",7
"5",10,"Booee","more",5
"6",80,"Booee","food",10
"7",80,"Booee","fruit",3
"8",78,"Booee","hat",1
"9",115,"Booee","look",6
"10",129,"Booee","string",9
"11",10,"Cindy","listen",8
"12",25,"Cindy","drink",4
"13",18,"Cindy","shoe",2
"14",25,"Cindy","key",7
"15",15,"Cindy","more",5
"16",55,"Cindy","food",10
"17",20,"Cindy","fruit",3
"18",99,"Cindy","hat",1
"19",54,"Cindy","look",6
"20",476,"Cindy","string",9
"21",2,"Bruno","listen",8
"22",36,"Bruno","drink",4
"23",60,"Bruno","shoe",2
"24",40,"Bruno","key",7
"25",225,"Bruno","more",5
"26",14,"Bruno","food",10
"27",177,"Bruno","fruit",3
"28",178,"Bruno","hat",1
"29",345,"Bruno","look",6
"30",287,"Bruno","string",9
"31",15,"Thelma","listen",8
"32",18,"Thelma","drink",4
"33",20,"Thelma","shoe",2
"34",40,"Thelma","key",7
"35",24,"Thelma","more",5
"36",190,"Thelma","food",10
"37",195,"Thelma","fruit",3
"38",297,"Thelma","hat",1
"39",420,"Thelma","look",6
"40",372,"Thelma","string",9
