"","Week","Patch","NoCut"
"1",1,0.7,0.7
"2",4,0,0
"3",7,0,0
"4",10,2.2,0
"5",13,1.1,0.7
"6",16,0,0
"7",19,1.1,1.1
"8",22,1.4,1.8
"9",25,1.8,1.8
"10",28,1.8,1.8
"11",31,1.1,1.6
"12",34,1.4,1.4
"13",37,1.1,0.7
"14",40,0,0
"15",43,2,1.4
"16",46,3.1,0
"17",49,3.2,1.1
"18",52,3.5,1.1
"19",55,2.7,1.1
"20",58,3.2,0.7
"21",61,3.3,0.7
"22",64,3.4,2.6
"23",67,4,3.1
"24",70,4.3,3.3
"25",73,3.4,3.3
"26",76,2,3.1
"27",79,1.6,3.6
"28",82,1.1,4.1
"29",85,1.8,3.6
"30",88,1.1,3.5
"31",91,0.7,3.3
"32",94,3.1,2.6
"33",97,4,3
"34",100,4,2.5
"35",103,4.8,3.4
"36",106,4.8,2.2
"37",109,3.7,1.6
"38",112,2.8,2.4
"39",115,2.6,3.1
"40",118,1.1,2.7
"41",121,0.7,3.1
"42",124,3.4,3
"43",127,0,3.2
"44",130,0,2
"45",133,1.6,2.9
"46",136,1.1,3.4
"47",139,1.4,2.2
"48",142,0.7,2.6
"49",145,2.6,1.6
"50",148,2.6,1.1
"51",151,3.8,1.4
"52",154,4.5,2.2
"53",157,4.5,1.4
"54",160,1.6,0.7
"55",163,1.6,2
"56",166,3.2,1.6
"57",169,2.4,3.6
"58",172,2.5,3.1
"59",175,4.1,2.9
"60",178,3,3
"61",181,1.6,2.6
"62",184,2.2,2.7
"63",187,1.4,3.2
"64",190,1.6,3.1
"65",193,0,2.2
"66",196,2,1.1
"67",199,0.7,0.7
"68",202,2.8,1.1
"69",205,2,0.7
"70",208,2.8,0.7
"71",211,1.4,0.7
"72",214,3,3
"73",217,0,2.7
"74",220,1.6,2
"75",223,1.1,2.2
"76",226,2.1,2.6
"77",229,1.6,2.9
"78",232,0,1.4
"79",235,1.6,2.4
"80",238,0.7,1.1
"81",241,0,1.1
"82",244,0.7,1.1
"83",247,1.1,0.7
"84",250,2.3,0.7
"85",253,2.2,0
"86",256,2.2,1.8
"87",259,2.3,1.1
"88",262,2.6,1.4
