"","Year","Temperature"
"1",1850,-0.371
"2",1851,-0.222
"3",1852,-0.178
"4",1853,-0.224
"5",1854,-0.113
"6",1855,-0.238
"7",1856,-0.403
"8",1857,-0.399
"9",1858,-0.42
"10",1859,-0.273
"11",1860,-0.37
"12",1861,-0.299
"13",1862,-0.606
"14",1863,-0.217
"15",1864,-0.492
"16",1865,-0.233
"17",1866,-0.245
"18",1867,-0.29
"19",1868,-0.148
"20",1869,-0.16
"21",1870,-0.185
"22",1871,-0.343
"23",1872,-0.229
"24",1873,-0.323
"25",1874,-0.292
"26",1875,-0.49
"27",1876,-0.335
"28",1877,-0.053
"29",1878,0.13
"30",1879,-0.241
"31",1880,-0.255
"32",1881,-0.3
"33",1882,-0.281
"34",1883,-0.375
"35",1884,-0.445
"36",1885,-0.412
"37",1886,-0.299
"38",1887,-0.297
"39",1888,-0.292
"40",1889,-0.185
"41",1890,-0.372
"42",1891,-0.345
"43",1892,-0.478
"44",1893,-0.543
"45",1894,-0.39
"46",1895,-0.416
"47",1896,-0.203
"48",1897,-0.213
"49",1898,-0.295
"50",1899,-0.252
"51",1900,-0.141
"52",1901,-0.203
"53",1902,-0.395
"54",1903,-0.422
"55",1904,-0.513
"56",1905,-0.39
"57",1906,-0.284
"58",1907,-0.53
"59",1908,-0.499
"60",1909,-0.499
"61",1910,-0.481
"62",1911,-0.47
"63",1912,-0.529
"64",1913,-0.512
"65",1914,-0.312
"66",1915,-0.23
"67",1916,-0.44
"68",1917,-0.523
"69",1918,-0.415
"70",1919,-0.423
"71",1920,-0.352
"72",1921,-0.203
"73",1922,-0.333
"74",1923,-0.301
"75",1924,-0.282
"76",1925,-0.174
"77",1926,-0.087
"78",1927,-0.163
"79",1928,-0.178
"80",1929,-0.322
"81",1930,-0.043
"82",1931,-0.013
"83",1932,-0.056
"84",1933,-0.223
"85",1934,-0.058
"86",1935,-0.088
"87",1936,-0.034
"88",1937,0.085
"89",1938,0.143
"90",1939,0.113
"91",1940,0.006
"92",1941,0.068
"93",1942,0.005
"94",1943,0.068
"95",1944,0.147
"96",1945,-0.032
"97",1946,-0.042
"98",1947,-0.108
"99",1948,-0.057
"100",1949,-0.101
"101",1950,-0.239
"102",1951,-0.041
"103",1952,-0.023
"104",1953,0.098
"105",1954,-0.132
"106",1955,-0.129
"107",1956,-0.295
"108",1957,-0.034
"109",1958,0.083
"110",1959,-0.009
"111",1960,-0.035
"112",1961,0.039
"113",1962,0.08
"114",1963,0.118
"115",1964,-0.208
"116",1965,-0.184
"117",1966,-0.055
"118",1967,-0.028
"119",1968,-0.086
"120",1969,-0.072
"121",1970,-0.072
"122",1971,-0.189
"123",1972,-0.207
"124",1973,0.026
"125",1974,-0.244
"126",1975,-0.136
"127",1976,-0.285
"128",1977,0.003
"129",1978,-0.049
"130",1979,0.026
"131",1980,0.059
"132",1981,0.197
"133",1982,-0.011
"134",1983,0.157
"135",1984,-0.086
"136",1985,-0.134
"137",1986,0.015
"138",1987,0.155
"139",1988,0.202
"140",1989,0.146
"141",1990,0.339
"142",1991,0.24
"143",1992,0.053
"144",1993,0.085
"145",1994,0.232
"146",1995,0.385
"147",1996,0.129
"148",1997,0.41
"149",1998,0.597
"150",1999,0.387
"151",2000,0.364
"152",2001,0.483
"153",2002,0.534
"154",2003,0.561
"155",2004,0.588
"156",2005,0.62
"157",2006,0.563
"158",2007,0.577
"159",2008,0.481
"160",2009,0.517
"161",2010,0.607
