"","Monkey","Treatment","Week2","Week4","Week8","Week12","Week16"
"1","Spank","Control",95,75,80,65,70
"2","Chim","Control",85,75,55,75,85
"3","Chak","Control",75,95,60,40,45
"4","Alf","Control",85,80,70,45,80
"5","Poet","Control",65,80,75,65,65
"6","Jessie","Control",70,90,85,75,75
"7","Phil","Control",75,80,70,70,70
"8","Irv","Treated",75,50,70,75,75
"9","Edy","Treated",85,85,60,70,70
"10","Allen","Treated",60,70,70,75,70
"11","Poe","Treated",60,65,70,70,60
"12","Joey","Treated",65,60,80,70,60
"13","Just","Treated",55,70,60,65,75
"14","Junior","Treated",60,55,75,70,50
"15","Andy","Treated",55,65,45,70,65
"16","Sport","Treated",60,70,70,85,70
"17","Cornelius","Treated",45,60,65,65,70
"18","Duncan","Treated",65,55,55,80,75
