"","Couple","HP","WP","HC","WC","PW","PH","CW","CH"
"1",1,2,4,5,5,3,4,5,5
"2",2,5,4,4,5,5,5,4,5
"3",3,4,4,5,5,5,4,5,5
"4",4,4,4,4,5,3,5,4,5
"5",5,3,4,5,5,3,4,5,5
"6",6,3,3,4,4,3,3,5,4
"7",7,3,4,4,5,4,3,4,4
"8",8,4,3,5,5,4,4,5,5
"9",9,4,4,5,5,5,4,5,4
"10",10,4,3,3,4,4,4,3,4
"11",11,4,4,5,5,4,5,5,5
"12",12,5,5,4,5,5,5,4,5
"13",13,4,4,4,5,4,4,4,5
"14",14,4,4,5,4,3,4,5,4
"15",15,4,4,5,5,4,4,5,5
"16",16,3,3,4,4,3,4,5,4
"17",17,4,5,4,5,5,5,4,5
"18",18,5,4,5,4,5,5,5,4
"19",19,5,3,4,4,5,4,4,4
"20",20,4,5,4,4,4,3,4,4
"21",21,4,5,4,4,4,3,4,4
"22",22,4,4,4,4,4,5,4,4
"23",23,3,2,5,5,4,5,5,5
"24",24,5,3,5,5,3,4,5,5
"25",25,5,4,3,5,5,3,3,5
"26",26,3,4,4,4,3,4,4,4
"27",27,4,4,4,5,4,4,4,5
"28",28,3,3,5,4,3,4,5,4
"29",29,4,4,3,5,4,4,3,4
"30",30,4,4,5,5,4,4,5,5
