"","Island","Area","AtRisk","Extinct"
"1","Ulkokrunni",185.8,75,5
"2","Maakrunni",105.8,67,3
"3","Ristikari",30.7,66,10
"4","Isonkivenletto",8.5,51,6
"5","Hietakraasukka",4.8,28,3
"6","Kraasukka",4.5,20,4
"7","Lansiletto",4.3,43,8
"8","Pihlajakari",3.6,31,3
"9","Tyni",2.6,28,5
"10","Tasasenletto",1.7,32,6
"11","Raiska",1.2,30,8
"12","Pohjanletto",0.7,20,2
"13","Toro",0.7,31,9
"14","Luusiletto",0.6,16,5
"15","Vatunginletto",0.4,15,7
"16","Vatunginnokka",0.3,33,8
"17","Tiirakari",0.2,40,13
"18","Ristikarenletto",0.07,6,3
