"","Group","Zinc"
"1","A",1.31
"2","A",1.45
"3","A",1.12
"4","A",1.16
"5","A",1.3
"6","A",1.5
"7","A",1.2
"8","A",1.22
"9","A",1.42
"10","A",1.14
"11","A",1.23
"12","A",1.59
"13","A",1.11
"14","A",1.1
"15","A",1.53
"16","A",1.52
"17","A",1.17
"18","A",1.49
"19","A",1.62
"20","A",1.29
"21","B",1.13
"22","B",1.71
"23","B",1.39
"24","B",1.15
"25","B",1.33
"26","B",1
"27","B",1.03
"28","B",1.68
"29","B",1.76
"30","B",1.55
"31","B",1.34
"32","B",1.47
"33","B",1.74
"34","B",1.74
"35","B",1.19
"36","B",1.15
"37","B",1.2
"38","B",1.59
"39","B",1.47
