"","State","Representative","Party","Pro05","Anti05","Pro06","Anti06","Pro07","Anti07","PctPro"
"1","Alabama","Bonner","R",2,16,3,9,2,18,14
"2","Alabama","Everett","R",0,18,1,11,2,18,6
"3","Alabama","Rogers","R",1,17,2,10,3,17,12
"4","Alabama","Aderholt","R",0,18,0,12,2,18,4
"5","Alabama","Cramer","D",5,13,4,7,14,6,46.94
"6","Alabama","Bachus","R",0,18,1,11,1,19,4
"7","Alabama","Davis","D",10,8,6,6,16,4,64
"8","Alaska","Young","R",0,18,0,12,2,18,4
"9","Arizona","Renzi","R",0,18,1,11,2,18,6
"10","Arizona","Franks","R",1,17,0,9,1,19,4.26
"11","Arizona","Shadegg","R",1,17,0,9,1,19,4.26
"12","Arizona","Pastor","D",17,1,11,1,18,2,92
"13","Arizona","Hayworth","R",1,17,0,9,NA,NA,3.7
"14","Arizona","Mitchell","D",NA,NA,NA,NA,20,0,100
"15","Arizona","Flake","R",3,14,1,7,3,17,15.56
"16","Arizona","Grijalva","D",17,1,12,0,18,2,94
"17","Arizona","Kolbe","R",1,16,0,9,NA,NA,3.85
"18","Arizona","Giffords","D",NA,NA,NA,NA,19,1,95
"19","Arkansas","Berry","D",8,10,3,9,14,6,50
"20","Arkansas","Snyder","D",14,4,11,0,17,3,85.71
"21","Arkansas","Boozman","R",0,18,1,11,2,18,6
"22","Arkansas","Ross","D",9,9,3,9,12,8,48
"23","California","Thompson","D",17,1,11,1,18,2,92
"24","California","Herger","R",0,18,0,12,0,20,0
"25","California","Lungren","R",0,18,1,11,1,19,4
"26","California","Doolittle","R",0,18,0,12,1,19,2
"27","California","Matsui","D",16,1,12,0,19,1,95.92
"28","California","Woolsey","D",18,0,12,0,19,1,98
"29","California","Miller","D",18,0,12,0,19,1,98
"30","California","Pelosi","D",17,0,12,0,NA,NA,100
"31","California","Lee","D",16,1,12,0,19,1,95.92
"32","California","Tauscher","D",17,1,12,0,20,0,98
"33","California","Pombo","R",1,17,2,9,NA,NA,10.34
"34","California","McNerney","D",NA,NA,NA,NA,18,2,90
"35","California","Lantos","D",17,1,11,0,16,4,89.8
"36","California","Stark","D",18,0,12,0,20,0,100
"37","California","Eshoo","D",17,0,12,0,18,2,95.92
"38","California","Honda","D",17,0,12,0,18,2,95.92
"39","California","Lofgren","D",18,0,11,0,20,0,100
"40","California","Farr","D",18,0,12,0,18,2,96
"41","California","Cardoza","D",11,7,7,5,13,7,62
"42","California","Radanovich","R",1,16,0,11,0,20,2.08
"43","California","Costa","D",11,7,5,6,15,5,63.27
"44","California","Nunes","R",0,18,0,12,0,20,0
"45","California","Thomas, W.","R",0,18,1,11,NA,NA,3.33
"46","California","McCarthy, K.",NA,NA,NA,NA,NA,0,20,0
"47","California","Capps","D",17,0,12,0,19,1,97.96
"48","California","Gallegly","R",1,16,1,11,3,17,10.2
"49","California","McKeon","R",1,17,1,11,2,18,8
"50","California","Dreier","R",1,17,2,10,3,17,12
"51","California","Sherman","D",18,0,12,0,19,1,98
"52","California","Berman","D",17,1,12,0,17,3,92
"53","California","Schiff","D",17,1,12,0,19,1,96
"54","California","Waxman","D",18,0,12,0,19,1,98
"55","California","Becerra","D",17,1,12,0,17,3,92
"56","California","Solis","D",17,1,12,0,19,1,96
"57","California","Watson","D",18,0,12,0,18,2,96
