"","State","Senator","Party","Pro2005","Anti2005","Pro2006","Anti2006","Pro2007","Anti2007","PctPro"
"1","Alabama","Session","R",1,18,0,7,2,13,7.32
"2","Alabama","Shelby","R",1,19,0,7,1,14,4.76
"3","Alaska","Murkowski","R",2,17,1,6,6,9,21.95
"4","Alaska","Stevens","R",1,19,1,6,4,11,14.29
"5","Arizona","Kyle","R",1,19,2,5,2,13,11.9
"6","Arizona","McCain","R",9,11,2,4,0,15,26.83
"7","Arkansas","Lincoln","D",13,7,3,4,10,5,61.9
"8","Arkansas","Pryor","D",12,8,3,4,9,6,57.14
"9","California","Boxer","D",18,1,7,0,12,3,90.24
"10","California","Fenstein","D",18,2,7,0,13,2,90.48
"11","Colorado","Allard","R",1,18,2,5,3,12,14.63
"12","Colorado","Salazar","D",16,4,5,2,11,4,76.19
"13","Connecticut","Dodd","D",18,1,7,0,9,6,82.93
"14","Connecticut","Lieberman","I",14,2,5,0,14,1,91.67
"15","Delaware","Biden","D",18,2,7,0,10,5,83.33
"16","Delaware","Carper","D",16,4,5,2,14,1,83.33
"17","Florida","Martinez","R",2,18,0,7,2,13,9.52
"18","Florida","Nelson","D",18,2,3,4,15,0,85.71
"19","Georgia","Chambliss","R",0,20,0,7,1,14,2.38
"20","Georgia","Isakson","R",1,19,0,7,1,14,4.76
"21","Hawaii","Akaka","D",15,5,7,0,13,2,83.33
"22","Hawaii","Inouye","D",13,5,5,2,12,3,75
"23","Idaho","Craig","R",1,19,0,6,2,13,7.32
"24","Idaho","Crapo","R",1,19,0,7,2,13,7.14
"25","Illinois","Durbin","D",19,1,7,0,14,1,95.24
"26","Illinois","Obama","D",19,1,7,0,10,5,85.71
"27","Indiana","Bayh","D",17,3,7,0,11,4,83.33
"28","Indiana","Lugar","R",4,15,1,6,8,7,31.71
"29","Iowa","Grassley","R",2,18,1,6,5,10,19.05
"30","Iowa","Harkin","D",19,1,5,2,13,2,88.1
"31","Kansas","Brownback","R",2,18,2,5,1,14,11.9
"32","Kansas","Roberts","R",0,20,0,7,0,15,0
"33","Kentucky","Bunning","R",0,20,0,5,1,14,2.5
"34","Kentucky","McConnell","R",0,20,0,7,1,14,2.38
"35","Lousiana","Landrieu","D",10,10,3,3,8,7,51.22
"36","Lousiana","Vitter","R",2,18,0,7,0,15,4.76
"37","Maine","Collins","R",14,6,5,2,15,0,80.95
"38","Maine","Snowe","R",14,6,6,1,12,3,76.19
"39","Maryland","Mikulskji","D",17,3,7,0,14,1,90.48
"40","Maryland","Sarbanes","D",20,0,7,0,NA,NA,100
