"","Year","Depth"
"1",1976,6.1
"2",1976,6.1
"3",1976,6.2
"4",1976,6.3
"5",1976,6.2
"6",1976,6.3
"7",1976,6.5
"8",1976,6.5
"9",1976,6.6
"10",1976,6.7
"11",1976,6.7
"12",1976,6.6
"13",1976,6.8
"14",1976,7
"15",1976,6.9
"16",1976,6.9
"17",1976,6.8
"18",1976,6.8
"19",1976,7
"20",1976,7.2
"21",1976,7.1
"22",1976,7
"23",1976,7.1
"24",1976,7.1
"25",1976,7.3
"26",1976,7.4
"27",1976,7.3
"28",1976,7.4
"29",1976,7.6
"30",1976,7.4
"31",1976,7.6
"32",1976,7.4
"33",1976,7.7
"34",1976,7.7
"35",1976,7.7
"36",1976,7.7
"37",1976,7.9
"38",1976,7.8
"39",1976,7.9
"40",1976,8
"41",1976,7.8
"42",1976,7.9
"43",1976,7.9
"44",1976,8
"45",1976,8
"46",1976,7.9
"47",1976,8.2
"48",1976,8.1
"49",1976,8.1
"50",1976,8.2
"51",1976,8
"52",1976,8.2
"53",1976,8.2
"54",1976,8.2
"55",1976,8.1
"56",1976,8
"57",1976,8.1
"58",1976,8.4
"59",1976,8.3
"60",1976,8.4
"61",1976,8.3
"62",1976,8.2
"63",1976,8.4
"64",1976,8.3
"65",1976,8.4
"66",1976,8.3
"67",1976,8.2
"68",1976,8.4
"69",1976,8.3
"70",1976,8.4
"71",1976,8.5
"72",1976,8.5
"73",1976,8.6
"74",1976,8.4
"75",1976,8.5
"76",1976,8.5
"77",1976,8.6
"78",1976,8.4
"79",1976,8.6
"80",1976,8.5
"81",1976,8.4
"82",1976,8.5
"83",1976,8.5
"84",1976,8.6
"85",1976,8.6
"86",1976,8.4
"87",1976,8.5
"88",1976,8.5
"89",1976,8.6
"90",1976,8.5
"91",1976,8.6
"92",1976,8.5
"93",1976,8.4
"94",1976,8.4
"95",1976,8.5
"96",1976,8.4
"97",1976,8.6
"98",1976,8.4
"99",1976,8.5
"100",1976,8.4
"101",1976,8.4
"102",1976,8.8
"103",1976,8.7
"104",1976,8.8
"105",1976,8.6
"106",1976,8.6
"107",1976,8.8
"108",1976,8.7
"109",1976,8.6
"110",1976,8.7
"111",1976,8.6
"112",1976,8.7
"113",1976,8.7
"114",1976,8.7
"115",1976,8.8
"116",1976,8.7
"117",1976,8.8
"118",1976,8.7
"119",1976,8.7
"120",1976,8.6
"121",1976,8.7
"122",1976,8.7
"123",1976,8.7
"124",1976,8.6
"125",1976,8.6
"126",1976,8.6
"127",1976,8.8
"128",1976,8.6
"129",1976,8.7
"130",1976,8.7
"131",1976,8.8
"132",1976,8.7
"133",1976,8.6
"134",1976,8.7
"135",1976,8.6
"136",1976,8.7
"137",1976,8.7
"138",1976,9
"139",1976,8.9
"140",1976,9
"141",1976,8.9
"142",1976,9
"143",1976,8.9
"144",1976,8.9
"145",1976,8.9
"146",1976,8.9
"147",1976,9
"148",1976,8.9
"149",1976,8.9
"150",1976,8.8
"151",1976,8.9
"152",1976,8.9
"153",1976,9
"154",1976,8.9
"155",1976,8.9
"156",1976,8.8
"157",1976,8.9
"158",1976,8.9
"159",1976,9
"160",1976,8.8
"161",1976,9
"162",1976,8.9
"163",1976,8.8
"164",1976,8.9
"165",1976,8.9
"166",1976,9
"167",1976,9
"168",1976,8.8
"169",1976,8.8
"170",1976,8.8
"171",1976,8.8
"172",1976,8.9
"173",1976,9
"174",1976,8.9
"175",1976,9
"176",1976,8.9
"177",1976,9.1
"178",1976,9
"179",1976,9.1
"180",1976,9.1
"181",1976,9.1
"182",1976,9
"183",1976,9.2
"184",1976,9.1
"185",1976,9.2
"186",1976,9.2
"187",1976,9.1
"188",1976,9.2
"189",1976,9.1
"190",1976,9.2
"191",1976,9.2
"192",1976,9.2
"193",1976,9.1
"194",1976,9.2
"195",1976,9.2
"196",1976,9.1
"197",1976,9
"198",1976,9.2
"199",1976,9.1
"200",1976,9.1
"201",1976,9
"202",1976,9.1
"203",1976,9.2
"204",1976,9.2
"205",1976,9
"206",1976,9
"207",1976,9.1
"208",1976,9.1
"209",1976,9
"210",1976,9.1
"211",1976,9.2
"212",1976,9.1
"213",1976,9
"214",1976,9.1
"215",1976,9.1
"216",1976,9.1
"217",1976,9.2
"218",1976,9.2
"219",1976,9.1
"220",1976,9.1
"221",1976,9.1
"222",1976,9.2
"223",1976,9.1
"224",1976,9.1
"225",1976,9
"226",1976,9.1
"227",1976,9.1
"228",1976,9.2
"229",1976,9
"230",1976,9.1
"231",1976,9.1
"232",1976,9
"233",1976,9.1
"234",1976,9.2
"235",1976,9.2
"236",1976,9.1
"237",1976,9.2
"238",1976,9.2
"239",1976,9.1
"240",1976,9.1
"241",1976,9
"242",1976,9.2
"243",1976,9.1
"244",1976,9
"245",1976,9.3
"246",1976,9.3
"247",1976,9.3
"248",1976,9.4
"249",1976,9.2
"250",1976,9.3
"251",1976,9.2
"252",1976,9.2
"253",1976,9.3
"254",1976,9.3
"255",1976,9.2
"256",1976,9.2
"257",1976,9.3
"258",1976,9.3
"259",1976,9.2
"260",1976,9.3
"261",1976,9.3
"262",1976,9.4
"263",1976,9.2
"264",1976,9.2
"265",1976,9.4
"266",1976,9.3
"267",1976,9.3
"268",1976,9.3
"269",1976,9.3
"270",1976,9.4
"271",1976,9.2
"272",1976,9.4
"273",1976,9.3
"274",1976,9.3
"275",1976,9.2
"276",1976,9.3
"277",1976,9.3
"278",1976,9.4
"279",1976,9.2
"280",1976,9.2
"281",1976,9.2
"282",1976,9.4
"283",1976,9.3
"284",1976,9.2
"285",1976,9.4
"286",1976,9.4
"287",1976,9.3
"288",1976,9.3
"289",1976,9.4
"290",1976,9.4
"291",1976,9.3
"292",1976,9.2
"293",1976,9.3
"294",1976,9.3
"295",1976,9.6
"296",1976,9.4
"297",1976,9.6
"298",1976,9.5
"299",1976,9.6
"300",1976,9.5
"301",1976,9.4
"302",1976,9.5
"303",1976,9.4
"304",1976,9.4
"305",1976,9.5
"306",1976,9.5
"307",1976,9.4
"308",1976,9.6
"309",1976,9.5
"310",1976,9.5
"311",1976,9.4
"312",1976,9.5
"313",1976,9.4
"314",1976,9.5
"315",1976,9.4
"316",1976,9.4
"317",1976,9.4
"318",1976,9.5
"319",1976,9.5
"320",1976,9.4
"321",1976,9.5
"322",1976,9.4
"323",1976,9.6
"324",1976,9.5
"325",1976,9.5
"326",1976,9.5
"327",1976,9.5
"328",1976,9.4
"329",1976,9.5
"330",1976,9.5
"331",1976,9.4
"332",1976,9.5
"333",1976,9.5
"334",1976,9.5
"335",1976,9.5
"336",1976,9.6
"337",1976,9.4
"338",1976,9.6
"339",1976,9.5
"340",1976,9.5
"341",1976,9.5
"342",1976,9.5
"343",1976,9.6
"344",1976,9.5
"345",1976,9.5
"346",1976,9.4
"347",1976,9.5
"348",1976,9.4
"349",1976,9.5
"350",1976,9.6
"351",1976,9.5
"352",1976,9.5
"353",1976,9.4
"354",1976,9.6
"355",1976,9.6
"356",1976,9.5
"357",1976,9.6
"358",1976,9.4
"359",1976,9.5
"360",1976,9.4
"361",1976,9.7
"362",1976,9.7
"363",1976,9.8
"364",1976,9.7
"365",1976,9.7
"366",1976,9.7
"367",1976,9.7
"368",1976,9.7
"369",1976,9.7
"370",1976,9.6
"371",1976,9.8
"372",1976,9.7
"373",1976,9.8
"374",1976,9.7
