"","Humerus","Status"
"1",0.687,"Survived"
"2",0.703,"Survived"
"3",0.709,"Survived"
"4",0.715,"Survived"
"5",0.728,"Survived"
"6",0.721,"Survived"
"7",0.729,"Survived"
"8",0.723,"Survived"
"9",0.728,"Survived"
"10",0.723,"Survived"
"11",0.726,"Survived"
"12",0.728,"Survived"
"13",0.736,"Survived"
"14",0.733,"Survived"
"15",0.73,"Survived"
"16",0.733,"Survived"
"17",0.73,"Survived"
"18",0.739,"Survived"
"19",0.735,"Survived"
"20",0.741,"Survived"
"21",0.741,"Survived"
"22",0.749,"Survived"
"23",0.741,"Survived"
"24",0.743,"Survived"
"25",0.741,"Survived"
"26",0.752,"Survived"
"27",0.752,"Survived"
"28",0.751,"Survived"
"29",0.756,"Survived"
"30",0.755,"Survived"
"31",0.766,"Survived"
"32",0.767,"Survived"
"33",0.769,"Survived"
"34",0.77,"Survived"
"35",0.78,"Survived"
"36",0.659,"Perished"
"37",0.689,"Perished"
"38",0.703,"Perished"
"39",0.702,"Perished"
"40",0.709,"Perished"
"41",0.713,"Perished"
"42",0.72,"Perished"
"43",0.729,"Perished"
"44",0.726,"Perished"
"45",0.726,"Perished"
"46",0.72,"Perished"
"47",0.737,"Perished"
"48",0.739,"Perished"
"49",0.731,"Perished"
"50",0.738,"Perished"
"51",0.736,"Perished"
"52",0.738,"Perished"
"53",0.744,"Perished"
"54",0.745,"Perished"
"55",0.743,"Perished"
"56",0.754,"Perished"
"57",0.752,"Perished"
"58",0.752,"Perished"
"59",0.765,"Perished"
