"","Gender","Arith","Word","Parag","Math","AFQT"
"1","male",19,27,14,14,70.3
"2","female",23,34,11,20,60.4
"3","male",30,35,14,25,98.3
"4","female",30,35,13,21,84.7
"5","female",13,30,11,12,44.5
"6","female",8,15,6,4,4
"7","female",10,17,6,7,11.8
"8","male",4,17,6,6,8.9
"9","male",12,33,13,11,44.7
"10","male",3,11,5,6,2.8
"11","female",30,33,15,24,98.5
"12","female",10,16,3,7,13.6
"13","female",10,16,11,6,16.6
"14","female",28,34,14,18,88.7
"15","male",8,2,5,7,5.9
"16","female",16,21,10,12,31.5
"17","male",26,35,14,22,90.8
"18","male",14,23,9,5,25.6
"19","female",24,30,14,19,88.4
"20","male",25,29,14,23,91.4
"21","female",30,35,14,25,99.3
"22","female",9,25,13,5,35
"23","female",22,29,13,22,76.4
"24","female",26,34,11,17,70.7
"25","female",13,15,12,11,36.4
"26","female",9,27,7,12,40.4
"27","female",3,20,7,7,12.6
"28","female",15,29,9,8,25
"29","female",9,22,10,8,21.7
"30","female",17,33,15,18,80.2
"31","female",29,34,15,22,94.2
"32","female",11,24,11,8,29.1
"33","female",8,8,6,1,2.5
"34","female",21,33,15,21,78.4
"35","female",10,7,3,5,2.7
"36","female",16,34,13,14,71.2
"37","female",26,34,12,21,85.1
"38","female",17,16,10,13,40
"39","female",13,14,5,10,18.5
"40","male",8,19,7,5,8.3
"41","male",23,25,7,17,57.8
"42","female",10,6,6,9,13.4
"43","female",9,11,5,1,4.1
"44","female",26,34,14,21,89.5
"45","male",17,27,12,7,43.8
"46","female",22,26,13,21,75.2
"47","male",9,25,7,8,13.1
"48","male",4,12,5,3,1.5
"49","female",5,22,6,5,6.7
"50","male",4,5,5,6,2.1
"51","female",8,23,11,6,14.1
"52","male",10,27,12,3,18.2
"53","male",7,17,3,4,4.8
"54","male",5,10,2,10,8.4
"55","female",22,34,15,17,91.5
"56","male",28,26,13,19,62.5
"57","female",17,27,14,12,56.3
"58","female",18,26,10,9,41
"59","male",12,33,8,12,34.2
"60","female",14,25,11,7,34.5
"61","female",14,31,10,14,53.3
"62","female",26,30,11,19,62.8
"63","female",21,32,13,11,63.6
"64","female",19,23,9,7,33.1
"65","female",18,28,14,11,69.1
"66","female",10,14,6,9,17.8
