"","Lifelength","Censored","Expected"
"1",63,0,70
"2",69,0,71
"3",58,0,71
"4",61,1,70
"5",70,0,70
"6",68,0,69
"7",72,0,68
"8",70,0,69
"9",71,0,70
"10",71,0,70
"11",70,0,69
"12",69,0,70
"13",70,0,69
"14",69,0,68
"15",77,0,70
"16",66,0,70
"17",69,0,67
"18",77,0,69
"19",71,0,67
"20",73,0,71
"21",74,0,69
"22",50,0,70
"23",53,1,69
"24",67,0,71
"25",69,0,68
"26",73,0,68
"27",57,1,68
"28",63,0,69
"29",79,0,66
"30",69,1,70
"31",65,0,67
"32",60,0,70
"33",68,0,69
"34",65,0,70
"35",72,0,68
"36",70,0,69
"37",72,0,68
"38",64,0,70
"39",72,0,68
"40",78,0,67
"41",60,1,61
"42",66,0,68
"43",68,0,71
"44",55,1,70
"45",70,0,70
"46",75,0,70
"47",55,1,69
"48",71,0,69
"49",57,1,71
"50",68,0,70
"51",72,0,67
"52",62,0,68
"53",66,0,69
"54",70,0,69
"55",67,0,71
"56",68,0,66
"57",57,1,69
"58",67,0,70
"59",69,0,71
"60",67,0,70
"61",62,1,66
"62",58,0,67
"63",66,0,69
"64",68,0,70
"65",57,1,69
"66",71,0,69
"67",60,1,69
"68",69,0,69
"69",72,0,68
"70",68,0,69
"71",78,0,70
"72",71,0,67
"73",76,0,71
"74",60,0,69
"75",77,0,68
"76",55,0,69
"77",75,0,67
"78",75,0,70
"79",60,1,69
"80",68,0,71
"81",60,0,72
"82",78,0,70
"83",52,0,71
"84",58,0,70
"85",64,0,69
"86",57,1,69
"87",80,0,69
"88",75,0,69
"89",63,1,67
"90",71,0,71
"91",59,1,68
"92",63,0,69
"93",77,0,71
"94",75,0,70
"95",70,0,69
"96",70,0,68
"97",71,0,68
"98",69,0,71
"99",74,0,69
"100",70,0,69
"101",71,0,65
"102",49,1,68
"103",78,0,70
"104",70,0,69
"105",71,0,68
"106",71,0,68
"107",62,0,69
"108",69,0,70
"109",67,0,70
"110",69,0,69
"111",55,0,72
"112",71,0,66
"113",69,0,72
"114",73,0,74
"115",61,0,70
"116",67,0,67
"117",39,0,68
"118",56,1,71
"119",74,0,69
"120",53,1,68
"121",76,0,70
"122",70,0,70
"123",77,0,62
"124",66,0,73
"125",78,0,68
"126",63,0,71
"127",74,0,70
"128",68,0,71
"129",49,1,69
"130",79,0,69
"131",71,0,69
"132",62,0,67
"133",72,0,68
"134",72,0,69
"135",67,0,67
"136",70,0,69
"137",62,1,69
"138",74,1,72
"139",83,0,72
"140",53,0,70
"141",54,0,69
"142",64,0,70
"143",78,0,69
"144",75,0,69
"145",67,0,70
"146",53,0,69
"147",65,0,69
"148",71,0,71
"149",66,0,69
"150",79,0,69
"151",66,1,71
"152",52,1,70
"153",72,0,69
"154",75,0,71
"155",69,0,69
"156",72,0,69
"157",62,0,68
"158",72,0,70
"159",57,1,68
"160",66,0,67
"161",73,0,67
"162",60,1,70
"163",73,0,67
"164",74,0,70
"165",65,0,68
"166",78,0,68
"167",72,0,70
"168",70,1,72
"169",71,0,68
"170",72,0,69
"171",65,0,70
"172",25,0,70
"173",66,0,60
"174",67,0,69
"175",66,0,66
"176",65,0,70
"177",56,1,70
"178",65,0,70
"179",70,0,66
"180",75,0,72
"181",48,0,69
"182",61,0,68
"183",72,0,68
"184",73,0,68
"185",69,0,68
"186",79,0,71
"187",79,0,69
"188",74,0,71
"189",64,0,66
"190",76,0,68
"191",64,1,68
"192",60,0,70
"193",75,0,67
"194",62,1,67
"195",66,0,69
"196",63,1,69
"197",77,0,72
"198",46,0,66
"199",65,0,67
"200",72,0,69
"201",73,0,68
"202",68,0,70
"203",66,0,67
"204",62,0,68
"205",72,0,70
"206",63,0,70
"207",74,0,66
"208",58,0,70
"209",69,0,69
"210",67,0,71
"211",52,0,69
"212",66,0,67
"213",73,0,71
"214",57,1,67
"215",72,0,69
"216",64,0,64
"217",62,0,69
"218",69,0,70
"219",72,0,70
"220",76,0,69
"221",72,0,69
"222",72,0,68
"223",74,0,72
"224",70,0,69
"225",58,0,69
"226",66,0,68
"227",73,0,70
