"","PollenRemoved","DurationOfVisit","BeeType"
"1",0.07,2,"Queen"
"2",0.1,5,"Queen"
"3",0.11,7,"Queen"
"4",0.12,11,"Queen"
"5",0.15,12,"Queen"
"6",0.19,11,"Queen"
"7",0.28,9,"Queen"
"8",0.31,9,"Queen"
"9",0.3,16,"Queen"
"10",0.34,17,"Queen"
"11",0.35,12,"Queen"
"12",0.39,14,"Queen"
"13",0.38,23,"Queen"
"14",0.4,35,"Queen"
"15",0.42,21,"Queen"
"16",0.4,10,"Queen"
"17",0.41,9,"Queen"
"18",0.42,7,"Queen"
"19",0.48,11,"Queen"
"20",0.48,13,"Queen"
"21",0.47,14,"Queen"
"22",0.49,16,"Queen"
"23",0.5,14,"Queen"
"24",0.51,17,"Queen"
"25",0.53,22,"Queen"
"26",0.58,13,"Queen"
"27",0.59,13,"Queen"
"28",0.65,12,"Queen"
"29",0.6,19,"Queen"
"30",0.6,23,"Queen"
"31",0.69,21,"Queen"
"32",0.7,27,"Queen"
"33",0.7,28,"Queen"
"34",0.51,58,"Queen"
"35",0.7,15,"Queen"
"36",0.28,3,"Worker"
"37",0.37,12,"Worker"
"38",0.52,10,"Worker"
"39",0.65,17,"Worker"
"40",0.76,24,"Worker"
"41",0.89,33,"Worker"
"42",0.74,44,"Worker"
"43",0.7,46,"Worker"
"44",0.79,48,"Worker"
"45",0.78,51,"Worker"
"46",0.74,64,"Worker"
"47",0.77,78,"Worker"
