"","Subject","Educ","Income2005"
"1",6,"16",65000
"2",13,"16",8000
"3",20,">16",64000
"4",21,"16",253043
"5",22,"16",45300
"6",46,">16",42000
"7",58,">16",55500
"8",63,"16",108000
"9",69,">16",120000
"10",73,">16",186135
"11",78,"16",14657
"12",89,"16",62000
"13",106,"16",105000
"14",107,"16",43000
"15",119,"16",12000
"16",120,"16",150000
"17",121,">16",41000
"18",129,"16",80000
"19",137,"16",175829
"20",138,"16",8000
"21",140,">16",65000
"22",141,">16",44768
"23",158,">16",35100
"24",162,">16",76000
"25",184,"16",6000
"26",186,">16",65000
"27",190,">16",92000
"28",191,">16",118000
"29",192,"16",26000
"30",193,"16",105000
"31",195,">16",348204
"32",198,">16",130000
"33",201,"16",16000
"34",210,"16",50000
"35",218,"16",261763
"36",219,">16",102000
"37",220,">16",105000
"38",247,">16",79000
"39",269,"16",154541
"40",281,">16",99000
"41",282,"16",14000
"42",317,"16",31500
"43",321,"16",69000
"44",327,"16",28000
"45",342,">16",96000
"46",346,"16",120000
"47",350,">16",100000
"48",357,"16",80000
"49",358,"16",110000
"50",359,"16",60000
"51",360,">16",34000
"52",367,"16",58000
"53",369,"16",12000
"54",370,"16",20000
"55",376,">16",47000
"56",399,">16",62500
"57",400,"16",75000
"58",409,"16",180733
"59",422,">16",55000
"60",439,"16",77000
"61",444,"16",1500
"62",445,"16",40000
"63",456,">16",50000
"64",457,"16",53000
"65",458,">16",65000
"66",459,">16",10000
"67",461,"16",85000
"68",467,"16",20000
"69",479,"16",86000
"70",480,">16",60000
"71",481,">16",388725
"72",482,">16",122000
"73",496,"16",25000
"74",501,">16",25000
"75",506,"16",43000
"76",520,"16",73000
"77",521,">16",80000
"78",553,"16",10000
"79",554,">16",1100
"80",556,">16",147000
"81",557,">16",1200
"82",558,">16",36000
"83",561,">16",42000
"84",562,">16",55000
"85",608,"16",27000
"86",609,"16",32000
"87",612,"16",46136
"88",645,"16",163172
"89",649,">16",110000
"90",650,"16",58000
"91",653,">16",96000
"92",663,"16",85000
"93",664,">16",43000
"94",665,"16",30000
"95",671,"16",10000
"96",683,">16",52000
"97",686,">16",57000
"98",725,">16",74000
"99",751,"16",55000
"100",752,">16",120000
"101",776,">16",115000
"102",777,"16",85000
"103",778,">16",30000
"104",792,"16",30000
"105",793,"16",30000
"106",796,"16",58000
"107",804,">16",16000
"108",807,"16",70000
"109",810,"16",115000
"110",812,"16",10500
"111",813,">16",33000
"112",816,"16",29000
"113",817,"16",117000
"114",820,"16",85000
"115",821,">16",34000
"116",825,">16",73000
"117",827,">16",169541
"118",829,">16",66000
"119",847,"16",67500
