"","Plot","Action","Seedlings2004","Seedlings2005","PercentLost"
"1","Plot 1","L",298,164,45
"2","Plot 2","L",471,221,53.1
"3","Plot 3","L",767,454,40.8
"4","Plot 4","L",576,141,75.5
"5","Plot 5","L",407,217,46.7
"6","Plot 6","L",1534,224,85.4
"7","Plot 7","L",2423,349,85.6
"8","Plot 8","L",1697,1388,18.2
"9","Plot 9","L",1137,646,43.2
"10","Plot 10","U",288,220,23.6
"11","Plot 11","U",300,260,13.3
"12","Plot 12","U",888,584,34.2
"13","Plot 13","U",2349,1924,18.1
"14","Plot 14","U",1425,626,56.1
"15","Plot 15","U",1449,1566,-8.1
"16","Plot 16","U",622,747,-20.1
