"","Protein","Treatment","Day","TrtDayGroup"
"1",154,"CPFA50","Day1","Group1"
"2",177,"CPFA50","Day1","Group1"
"3",174,"CPFA50","Day1","Group1"
"4",164,"CPFA150","Day2","Group2"
"5",192,"CPFA150","Day2","Group2"
"6",159,"CPFA150","Day2","Group2"
"7",157,"CPFA300","Day3","Group3"
"8",159,"CPFA300","Day3","Group3"
"9",124,"CPFA300","Day3","Group3"
"10",160,"CPFA450","Day4","Group4"
"11",152,"CPFA450","Day4","Group4"
"12",141,"CPFA450","Day4","Group4"
"13",147,"CPFA600","Day5","Group5"
"14",152,"CPFA600","Day5","Group5"
"15",158,"CPFA600","Day5","Group5"
"16",157,"Control","Day1","Group6"
"17",165,"Control","Day1","Group6"
"18",150,"Control","Day1","Group6"
"19",186,"Control","Day2","Group7"
"20",206,"Control","Day2","Group7"
"21",195,"Control","Day2","Group7"
"22",192,"Control","Day3","Group8"
"23",202,"Control","Day3","Group8"
"24",216,"Control","Day3","Group8"
"25",190,"Control","Day4","Group9"
"26",187,"Control","Day4","Group9"
"27",160,"Control","Day4","Group9"
"28",191,"Control","Day5","Group10"
"29",188,"Control","Day5","Group10"
"30",199,"Control","Day5","Group10"
