"","Oxygen","Bone"
"1",11.1,"Bone1"
"2",11.22,"Bone1"
"3",11.29,"Bone1"
"4",11.49,"Bone1"
"5",11.32,"Bone2"
"6",11.4,"Bone2"
"7",11.71,"Bone2"
"8",11.6,"Bone3"
"9",11.78,"Bone3"
"10",12.05,"Bone3"
"11",10.61,"Bone4"
"12",10.88,"Bone4"
"13",11.12,"Bone4"
"14",11.24,"Bone4"
"15",11.43,"Bone4"
"16",10.92,"Bone5"
"17",11.2,"Bone5"
"18",11.3,"Bone5"
"19",11.62,"Bone5"
"20",11.7,"Bone5"
"21",11.7,"Bone6"
"22",11.79,"Bone6"
"23",11.91,"Bone6"
"24",12.15,"Bone6"
"25",11.33,"Bone7"
"26",11.41,"Bone7"
"27",11.62,"Bone7"
"28",12.15,"Bone7"
"29",12.3,"Bone7"
"30",11.32,"Bone8"
"31",11.65,"Bone8"
"32",11.96,"Bone8"
"33",12.15,"Bone8"
"34",11.54,"Bone9"
"35",11.89,"Bone9"
"36",12.04,"Bone9"
"37",10.93,"Bone10"
"38",11.01,"Bone10"
"39",11.08,"Bone10"
"40",11.12,"Bone10"
"41",11.28,"Bone10"
"42",11.37,"Bone10"
"43",11.35,"Bone11"
"44",11.43,"Bone11"
"45",11.5,"Bone11"
"46",11.57,"Bone11"
"47",11.92,"Bone11"
"48",11.95,"Bone12"
"49",12.01,"Bone12"
"50",12.25,"Bone12"
"51",12.3,"Bone12"
"52",12.39,"Bone12"
