"","Year","Denmark","Netherlands","Canada","USA"
"1",1950,0.512,0.516,NA,NA
"2",1951,0.5174,0.5158,NA,NA
"3",1952,0.5151,0.5158,NA,NA
"4",1953,0.5175,0.5156,NA,NA
"5",1954,0.5148,0.5157,NA,NA
"6",1955,0.5169,0.513,NA,NA
"7",1956,0.5153,0.515,NA,NA
"8",1957,0.5161,0.5147,NA,NA
"9",1958,0.515,0.5139,NA,NA
"10",1959,0.5139,0.5125,NA,NA
"11",1960,0.5121,0.5135,NA,NA
"12",1961,0.5125,0.5122,NA,NA
"13",1962,0.5122,0.5121,NA,NA
"14",1963,0.5132,0.5141,NA,NA
"15",1964,0.516,0.5143,NA,NA
"16",1965,0.5148,0.5141,NA,NA
"17",1966,0.5142,0.5129,NA,NA
"18",1967,0.5135,0.5135,NA,NA
"19",1968,0.5164,0.5116,NA,NA
"20",1969,0.5171,0.5135,NA,NA
"21",1970,0.514,0.512,0.5147,0.5134
"22",1971,0.517,0.5134,0.5153,0.5126
"23",1972,0.5126,0.5112,0.5148,0.5125
"24",1973,0.5133,0.5115,0.5149,0.5128
"25",1974,0.5127,0.5132,0.5141,0.5133
"26",1975,0.5108,0.5122,0.5136,0.5132
"27",1976,0.5169,0.5148,0.5135,0.5128
"28",1977,0.5144,0.5135,0.5145,0.5128
"29",1978,0.514,0.5126,0.5124,0.5129
"30",1979,0.5141,0.5123,0.5146,0.5127
"31",1980,0.5125,0.5128,0.5136,0.5129
"32",1981,0.5108,0.5107,0.5133,0.5126
"33",1982,0.5141,0.5128,0.5128,0.5123
"34",1983,0.5117,0.5113,0.5145,0.5127
"35",1984,0.5132,0.5132,0.5137,0.5122
"36",1985,0.5111,0.5111,0.5144,0.5126
"37",1986,0.5142,0.5087,0.5123,0.5122
"38",1987,0.5173,0.5136,0.512,0.512
"39",1988,0.5155,0.5117,0.5122,0.5121
"40",1989,0.5132,0.5096,0.5123,0.512
"41",1990,0.5145,0.5132,0.5136,0.512
"42",1991,0.5131,0.5114,NA,NA
"43",1992,0.5143,0.5129,NA,NA
"44",1993,0.514,0.5116,NA,NA
"45",1994,0.5116,0.5128,NA,NA
