"","Gender","Family","Height","Father","Mother"
"1","male",1,73.2,78.5,67
"2","female",1,69.2,78.5,67
"3","female",1,69,78.5,67
"4","female",1,69,78.5,67
"5","male",2,73.5,75.5,66.5
"6","male",2,72.5,75.5,66.5
"7","female",2,65.5,75.5,66.5
"8","female",2,65.5,75.5,66.5
"9","male",3,71,75,64
"10","female",3,68,75,64
"11","male",4,70.5,75,64
"12","male",4,68.5,75,64
"13","female",4,67,75,64
"14","female",4,64.5,75,64
"15","female",4,63,75,64
"16","male",5,72,75,58.5
"17","male",5,69,75,58.5
"18","male",5,68,75,58.5
"19","female",5,66.5,75,58.5
"20","female",5,62.5,75,58.5
"21","female",5,62.5,75,58.5
"22","female",6,69.5,74,68
"23","male",7,76.5,74,68
"24","male",7,74,74,68
"25","male",7,73,74,68
"26","male",7,73,74,68
"27","female",7,70.5,74,68
"28","female",7,64,74,68
"29","female",8,70.5,74,66.5
"30","female",8,68,74,66.5
"31","female",8,66,74,66.5
"32","female",9,66,74.5,66
"33","female",10,65.5,74,65.5
"34","male",11,74,74,62
"35","male",11,70,74,62
"36","female",11,68,74,62
"37","female",11,67,74,62
"38","female",11,67,74,62
"39","female",11,66,74,62
"40","female",11,63.5,74,62
"41","female",11,63,74,62
"42","female",12,65,74,61
"43","male",13,71,73,67
"44","female",13,62,73,67
"45","male",14,68,73,67
"46","male",14,67,73,67
"47","male",15,71,73,66.5
"48","male",15,70.5,73,66.5
"49","female",15,66.7,73,66.5
"50","male",16,72,73,65
"51","male",16,70.5,73,65
"52","male",16,70.2,73,65
"53","male",16,70.2,73,65
"54","male",16,69.2,73,65
"55","female",16,68.7,73,65
"56","female",16,66.5,73,65
"57","female",16,64.5,73,65
"58","female",16,63.5,73,65
"59","male",17,74,73,64.5
"60","male",17,73,73,64.5
"61","male",17,71.5,73,64.5
"62","male",17,62.5,73,64.5
"63","female",17,66.5,73,64.5
"64","female",17,62.3,73,64.5
"65","female",18,66,73,64
"66","female",18,64.5,73,64
"67","female",18,64,73,64
