"","CommonName","Species","Mass","Metab","Life"
"1","Echidna","Tachiglossus aculeatus",2.5,302,14
"2","Long-beaked echidna","Zaglossus bruijni",10.3,594,20
"3","Platypus","Ornithorhynchus anatinus",1.3,229,9
"4","Opossum","Lutreolina crassicaudata",0.812,196,5
"5","South American opossum","Didelphis marsupialis",1.33,299,6
"6","Virginia opossum","Didelphis virginiana",3.26,519,8
"7","Australian marsupial","Antechinus macdonnellensis",0.0141,9,2
"8","Marsupial","Antechinomus stuartii",0.00365,17.6,2.5
"9","Marsupial","Antechinomus laniger",0.0085,5.17,2
"10","Marsupial rat","Dasyuroides byrnei",0.089,37.4,3
"11","Bandicoot","Isodon macroonurus",1,201,8
"12","Long-nosed bandicoot","Perameles nasuta",0.645,153,7
"13","Fat-tailed dunnart","Sminthopsis crassicaudata",0.015,9.64,2
"14","Australian marsupial","Planigale maculata",0.013,13.7,1.5
"15","Tasmanian devil","Sacrophilus harrisii",5.05,628,10
"16","Brushtail possum","Trichosurus vulpecula",1.98,306,8
"17","Kangaroo","Macropus robustus",4.69,694,11
"18","Red kangaroo","Macropus rufus",40,4000,15
"19","Tammar wallaby","Macropus eugenii",4.8,671,11
"20","Sloth","Bradypus variegatus",3.79,331,19
"21","Armadillo","Dasypus novemcinctus",3.32,384,10
"22","Pangolin","Manis tricuspis",2.73,440,8
"23","Scaly anteater","Manis javanica",4.22,529,11
"24","Short-tailed shrew","Blarina brevicauda",0.021,25.3,1.2
"25","Hamster","Cricetus cricetus",0.362,112,4
"26","Spiny pocket mouse","Liomys salvini",0.0438,22.5,2.5
"27","Mexican mouse","Liomys irroratus",0.0481,26,2.5
"28","Mouse","Microtus minutus",0.0098,18,0.8
"29","Mouse","Microtus mexicanus",0.028,22,1.5
"30","Golden mouse","Ochrotomys nuttalli",0.0195,23.8,1.5
"31","Mouse","Mus musculus",0.021,20.9,1.5
"32","Woodrat","Neotoma cirenea",0.321,121,3.5
"33","Woodrat","Neotoma lepida",0.139,48.2,3.5
"34","Woodrat","Neotoma fuscipes",0.187,71.3,3.5
"35","Woodrat","Neotoma albigula",0.172,61.4,3.5
"36","Musk rat","Ondatra zibethicus",0.842,333,3.5
"37","Pocket mouse","Perognathus longimembris",0.0115,11.4,1.5
"38","Mouse","Perognahtus hispidus",0.0395,23.8,2
"39","Rodent","Peromyscus eremicus",0.0215,15.4,1.5
"40","Rodent","Peromyscus californicus",0.0455,22.6,2.5
"41","White-footed mouse","Peromyscus leucopus",0.0222,26.8,1.5
"42","Shrew","Sorex caecutiens",0.0036,15,0.8
"43","Common shrew","Sorex araneus",0.005,17.6,0.8
"44","Chinchilla","Chinchilla laniger",0.494,112,8
"45","Viscacha","Lagostomus maximus",6.78,916,13
"46","Rodent","Kerodon rupestris",0.75,193,6
"47","Guinea pig","Cavia porcellus",0.5,192,6
"48","Marmot","Marmota monax",2.65,320,10
"49","Rat","Rattus fuscipes",0.076,40.7,3
"50","Rat","Rattus lutreolus",0.109,30.5,3.5
"51","Rat","Rattus rattus",0.132,80.9,3.5
"52","Rat","Rattus sordidus",0.187,51.4,4
"53","Cotton rat","Sigmodon hispidus",0.161,168,3
"54","Brown hare","Lepus europaeus",2.5,528,8
"55","Snowshoe hare","Lepus americanus",1.58,686,7
"56","Jack Rabbit","Lepus californicus",2.3,623,8
"57","Mountain hare","Lepus timidus",3,522,9
"58","Hare","Lepus alleni",3.36,730,9
"59","Cottontail","Sulvilagus audubonii",0.702,220,7
"60","Pronghorn","Antilocapra americana",32,4320,18
"61","Camel","Camelus dromedarius",407,23600,26
"62","Asian elephant","Elephas maximum",3000,165000,54
"63","Roe deer","Capreolus capreolus",19,3670,13
"64","Red deer","Cervus elaphus",58,7800,18
"65","Horse","Equus cabalus",400,32000,40
"66","Merino sheep","Ovis aries",49,4200,20
"67","Sheep","Ovis Canadensis",65,10700,20
"68","Buffalo","Bubalus caffer",420,29400,35
"69","Chamois","Rupicapra rupicapra",40,3140,21
"70","Swine","Sus scrofa",140,12000,15
"71","Collored peccary","Tayassu tajacu",20.2,826,15
"72","Otter","Lutra lutra",10,2200,15
"73","Wolverine","Gulogulo",12.7,2820,15
"74","Badger","Meles meles",11.1,1440,16
"75","Sea otter","Enhydra lutris",40,12400,16
"76","Fox","Vulpes vulpes",5.01,1210,12
"77","Coyote","canis latrans",10,1320,18
"78","Dog","Canis familiaris",14,1880,18
"79","Jaguar","Panthera onca",18,2440,20
"80","Cat","Felis silvestris",3,546,11
"81","Mink","Mustela vis on",0.66,239,8
"82","Harbor seal","Phoca vitulina",26,7400,13
"83","Beluga whale","Delphinapterus leucas",170,23000,25
"84","Bottle-nosed whale","Hyperoodon ampullatus",1000,69500,40
"85","Bat","Desmodus rotundus",0.029,9.65,8
"86","Bat","Vampyrops lineatus",0.022,15.6,6
"87","Ghost bat","Macroderma gigas",0.148,68,10
"88","Molossid bat","Eumops per otis",0.057,14.2,10
"89","Fox bat","Pteropus policephalus",0.598,153,13
"90","Chimpanzee","Pan troglodytes",45,4620,40
"91","Rhesus monkey","Macaca mulatta",5,960,25
"92","Orangutan","Pongo pygma eus",150,15500,45
"93","Gorilla","Gorilla gorilla",250,21000,45
"94","Gibbon","Hylobater lar",8,1510,25
"95","Man","Homo sapiens",65,7560,75
