"","Subject","AFQT","Educ","Income2005"
"1",2,6.841,12,5500
"2",6,99.393,16,65000
"3",7,47.412,12,19000
"4",8,44.022,14,36000
"5",9,59.683,14,65000
"6",13,72.313,16,8000
"7",16,50.283,13,71000
"8",17,89.669,13,43000
"9",18,95.977,13,120000
"10",20,67.021,17,64000
"11",21,88.416,16,253043
"12",22,89.167,16,45300
"13",29,25.905,12,85000
"14",34,6.069,13,150432
"15",37,56.29,12,37000
"16",38,12.788,12,70000
"17",39,26.851,12,67000
"18",41,57.095,15,120000
"19",42,22.326,12,45000
"20",44,37.061,12,7200
"21",46,78.095,19,42000
"22",47,75.473,12,66309
"23",49,71.226,14,34000
"24",57,30.83,12,12000
"25",58,91.625,17,55500
"26",61,99.15,14,63000
"27",62,36.384,13,30000
"28",63,87.934,16,108000
"29",69,86.703,18,120000
"30",73,81.527,18,186135
"31",78,85.347,16,14657
"32",86,7.198,9,14000
"33",87,12.463,12,17000
"34",89,84.98,16,62000
"35",97,59.411,14,49000
"36",105,81.787,12,40000
"37",106,87.651,16,105000
"38",107,65.347,16,43000
"39",117,98.349,15,83000
"40",119,27.671,16,12000
"41",120,97.847,16,150000
"42",121,92.618,17,41000
"43",126,67.259,14,85000
"44",129,92.817,16,80000
"45",133,57.983,12,52000
"46",137,87.283,16,175829
"47",138,88.326,16,8000
"48",139,79.832,15,120000
"49",140,72.878,17,65000
"50",141,85.861,18,44768
"51",143,59.838,14,52000
"52",145,62.607,12,10000
"53",146,86.932,12,50000
"54",147,22.466,14,12000
"55",148,74.997,12,21800
"56",149,39.973,12,95000
"57",152,93.332,12,85000
"58",156,4.975,11,14000
"59",158,85.206,17,35100
"60",160,77.44,14,65000
"61",162,98.253,18,76000
"62",165,46.506,12,50000
"63",166,58.432,13,82000
"64",174,47.279,13,48000
"65",179,30.455,12,29000
"66",184,59.078,16,6000
"67",185,77.155,12,34000
"68",186,81.515,18,65000
"69",188,11.983,10,15000
"70",190,73.636,18,92000
"71",191,89.27,19,118000
"72",192,80.48,16,26000
"73",193,45.527,16,105000
"74",195,87.917,18,348204
"75",197,17.107,12,17000
"76",198,64.239,18,130000
"77",199,19.225,12,38000
"78",200,27.551,12,35000
"79",201,86.603,16,16000
"80",202,73.184,14,55000
"81",207,25.802,12,32000
"82",210,59.04,16,50000
"83",218,81.447,16,261763
"84",219,60.012,20,102000
"85",220,89.381,20,105000
"86",228,2.739,9,1600
"87",230,34.084,15,55000
"88",232,55.78,14,45000
"89",233,31.472,12,39000
"90",234,35.461,12,140000
"91",235,61.313,15,98000
"92",236,71.673,13,30000
"93",239,13.294,10,9000
"94",240,50.483,12,38000
"95",242,30.481,12,75000
"96",243,62.957,12,94600
"97",244,73.828,12,5000
"98",245,81.929,14,25000
"99",247,52.544,20,79000
"100",248,8.261,14,2000
"101",253,34.745,11,20000
"102",256,56.308,13,3000
"103",257,58.214,12,22000
"104",259,56.348,12,14000
"105",260,83.227,14,65000
"106",269,83.698,16,154541
"107",273,64.372,15,61500
"108",274,88.343,13,45000
"109",275,72.963,14,52000
"110",279,59.272,12,64500
"111",281,72.769,18,99000
"112",282,85.4,16,14000
"113",283,15.136,12,53000
"114",284,44.708,12,90000
"115",285,15.448,10,35000
"116",290,11.136,10,19000
"117",294,62.191,12,12000
"118",299,12.439,11,25000
"119",306,27.277,14,40000
