"","Bank","Walk","Talk","Heart"
"1",31,28,24,24
"2",30,23,23,29
"3",29,24,18,31
"4",28,28,23,26
"5",27,22,30,26
"6",26,25,24,20
"7",30,26,24,17
"8",28,30,21,19
"9",33,22,18,26
"10",33,22,22,24
"11",22,23,23,26
"12",30,25,20,25
"13",32,23,23,14
"14",29,18,25,11
"15",25,27,27,19
"16",24,22,14,24
"17",27,23,24,20
"18",26,22,24,13
"19",24,23,25,20
"20",31,12,19,18
"21",27,23,17,16
"22",28,20,18,19
"23",21,20,17,23
"24",19,22,18,11
"25",34,14,22,27
"26",24,20,23,18
"27",25,17,19,15
"28",25,26,19,20
"29",20,19,22,18
"30",22,23,23,21
"31",26,13,22,11
"32",29,16,21,14
"33",25,17,18,19
"34",22,17,15,15
"35",24,16,10,18
"36",13,20,12,16
