"","Species","Weight","Ingestion","Organic"
"1","Hydrobia neglecta",0.2,0.57,18
"2","Hydrobia ventrosa",0.2,0.86,17
"3","Tubifex tubifex",0.27,0.43,29.7
"4","Hyalella azteca",0.32,0.43,50
"5","Potamopyrgus jenkinsi",0.46,2.7,14.4
"6","Hydrobia ulvae",0.9,0.67,13
"7","Nereis succinea",5.8,20.2,6.8
"8","Pteronarcys scotti",8.4,1.49,93
"9","Orchestia grillus",12.4,4.4,88
"10","Arenicola grubii",20.4,240,2.2
"11","Thoracophelia mucronata",40,230,1
"12","Ilyoplax pusilla",53,300,4.2
"13","Uca pubnax",63.3,19.9,51
"14","Scopimera globosa",65,50,23.6
"15","Pectinaria gouldii",80,1667,0.7
"16","Abarenicola pacifica",380,3400,1.2
"17","Abarenicola claparedi",380,9400,0.4
"18","Arenicola marina",930,4700,0.6
"19","Macrophthalmus japonicus",2050,4680,2.1
