"","Subject","Gender","AFQT","Educ","Income2005"
"1",2,"female",6.841,12,5500
"2",6,"male",99.393,16,65000
"3",7,"male",47.412,12,19000
"4",8,"female",44.022,14,36000
"5",9,"male",59.683,14,65000
"6",13,"male",72.313,16,8000
"7",16,"female",50.283,13,71000
"8",17,"male",89.669,13,43000
"9",18,"male",95.977,13,120000
"10",20,"female",67.021,17,64000
"11",21,"female",88.416,16,253043
"12",22,"female",89.167,16,45300
"13",29,"female",25.905,12,85000
"14",34,"male",6.069,13,150432
"15",37,"female",56.29,12,37000
"16",38,"female",12.788,12,70000
"17",39,"male",26.851,12,67000
"18",41,"male",57.095,15,120000
"19",42,"male",22.326,12,45000
"20",44,"female",37.061,12,7200
"21",46,"female",78.095,19,42000
"22",47,"male",75.473,12,66309
"23",49,"female",71.226,14,34000
"24",57,"female",30.83,12,12000
"25",58,"female",91.625,17,55500
"26",61,"female",99.15,14,63000
"27",62,"female",36.384,13,30000
"28",63,"male",87.934,16,108000
"29",69,"male",86.703,18,120000
"30",73,"male",81.527,18,186135
"31",78,"female",85.347,16,14657
"32",86,"female",7.198,9,14000
"33",87,"male",12.463,12,17000
"34",89,"female",84.98,16,62000
"35",97,"female",59.411,14,49000
"36",105,"female",81.787,12,40000
"37",106,"male",87.651,16,105000
"38",107,"male",65.347,16,43000
"39",117,"male",98.349,15,83000
"40",119,"male",27.671,16,12000
"41",120,"male",97.847,16,150000
"42",121,"female",92.618,17,41000
"43",126,"male",67.259,14,85000
"44",129,"male",92.817,16,80000
"45",133,"female",57.983,12,52000
"46",137,"female",87.283,16,175829
"47",138,"female",88.326,16,8000
"48",139,"male",79.832,15,120000
"49",140,"female",72.878,17,65000
"50",141,"female",85.861,18,44768
"51",143,"female",59.838,14,52000
"52",145,"male",62.607,12,10000
"53",146,"male",86.932,12,50000
"54",147,"female",22.466,14,12000
"55",148,"male",74.997,12,21800
"56",149,"female",39.973,12,95000
"57",152,"female",93.332,12,85000
"58",156,"male",4.975,11,14000
"59",158,"female",85.206,17,35100
"60",160,"female",77.44,14,65000
"61",162,"male",98.253,18,76000
"62",165,"female",46.506,12,50000
"63",166,"male",58.432,13,82000
"64",174,"female",47.279,13,48000
"65",179,"female",30.455,12,29000
"66",184,"female",59.078,16,6000
"67",185,"male",77.155,12,34000
"68",186,"female",81.515,18,65000
"69",188,"female",11.983,10,15000
"70",190,"female",73.636,18,92000
"71",191,"male",89.27,19,118000
"72",192,"female",80.48,16,26000
"73",193,"male",45.527,16,105000
"74",195,"male",87.917,18,348204
"75",197,"female",17.107,12,17000
"76",198,"male",64.239,18,130000
"77",199,"male",19.225,12,38000
"78",200,"female",27.551,12,35000
"79",201,"male",86.603,16,16000
"80",202,"male",73.184,14,55000
"81",207,"male",25.802,12,32000
"82",210,"male",59.04,16,50000
"83",218,"male",81.447,16,261763
"84",219,"female",60.012,20,102000
"85",220,"female",89.381,20,105000
"86",228,"female",2.739,9,1600
"87",230,"male",34.084,15,55000
"88",232,"male",55.78,14,45000
"89",233,"male",31.472,12,39000
"90",234,"male",35.461,12,140000
"91",235,"male",61.313,15,98000
"92",236,"female",71.673,13,30000
"93",239,"female",13.294,10,9000
"94",240,"female",50.483,12,38000
"95",242,"female",30.481,12,75000
"96",243,"male",62.957,12,94600
"97",244,"female",73.828,12,5000
"98",245,"female",81.929,14,25000
"99",247,"male",52.544,20,79000
"100",248,"male",8.261,14,2000
"101",253,"male",34.745,11,20000
"102",256,"female",56.308,13,3000
"103",257,"male",58.214,12,22000
"104",259,"male",56.348,12,14000
"105",260,"male",83.227,14,65000
"106",269,"male",83.698,16,154541
"107",273,"male",64.372,15,61500
"108",274,"male",88.343,13,45000
"109",275,"female",72.963,14,52000
"110",279,"male",59.272,12,64500
"111",281,"male",72.769,18,99000
"112",282,"female",85.4,16,14000
"113",283,"male",15.136,12,53000
"114",284,"male",44.708,12,90000
"115",285,"female",15.448,10,35000
"116",290,"female",11.136,10,19000
"117",294,"female",62.191,12,12000
"118",299,"male",12.439,11,25000
"119",306,"male",27.277,14,40000
"120",310,"male",18.491,12,70000
"121",313,"male",30.794,11,37000
"122",317,"male",78.739,16,31500
"123",321,"female",76.525,16,69000
"124",323,"male",65.825,12,80000
"125",324,"male",10.373,9,23000
"126",327,"female",88.257,16,28000
"127",335,"female",62.746,15,10000
"128",341,"female",46.696,14,125000
"129",342,"male",95.123,17,96000
"130",346,"male",43.221,16,120000
"131",348,"male",36.155,12,164307
"132",350,"male",47.18,17,100000
"133",351,"male",19.021,12,39000
"134",354,"female",65.997,12,9600
"135",355,"male",55.481,13,120000
"136",356,"male",41.794,11,50000
"137",357,"male",68.746,16,80000
"138",358,"male",28.374,16,110000
"139",359,"female",37.74,16,60000
"140",360,"female",80.272,19,34000
"141",362,"male",19.625,12,48000
"142",367,"female",76.624,16,58000
"143",369,"female",91.042,16,12000
"144",370,"female",89.893,16,20000
"145",373,"female",11.771,12,9000
"146",375,"male",11.374,12,17500
"147",376,"male",83.17,18,47000
"148",377,"male",32.899,12,10000
"149",381,"male",49.149,12,105000
"150",385,"female",39.687,12,41500
"151",386,"female",63.197,12,43000
"152",388,"female",78.241,15,70000
"153",391,"female",23.959,12,35000
"154",392,"male",93.142,12,60000
"155",393,"male",76.768,13,68000
"156",399,"female",66.314,18,62500
"157",400,"female",100,16,75000
"158",401,"female",24.833,12,11500
"159",405,"female",16.239,13,26000
"160",408,"male",85.102,12,68000
"161",409,"male",90.513,16,180733
"162",410,"male",68.615,12,31085
"163",411,"male",18.169,12,16000
"164",414,"female",73.351,14,21000
"165",418,"female",60.767,13,28000
"166",422,"male",99.379,19,55000
"167",426,"male",27.838,12,82000
"168",433,"male",1.622,12,21528
"169",434,"male",65.734,12,59000
"170",437,"female",71.472,12,22000
"171",438,"female",79.95,13,36000
"172",439,"female",75.485,16,77000
"173",442,"female",64.195,13,15000
"174",443,"male",97.365,14,47000
"175",444,"female",80.238,16,1500
"176",445,"male",93.639,16,40000
"177",446,"female",25.328,12,32000
"178",449,"female",47.638,12,14000
"179",453,"male",72.199,13,40300
