"","Region","MetropolitanStatus","Exper","Educ","Race","WeeklyEarnings"
"1","South","NotMetropolitanArea",8,12,"NotBlack",859.71
"2","Midwest","MetropolitanArea",30,12,"NotBlack",786.73
"3","West","MetropolitanArea",31,14,"NotBlack",1424.5
"4","West","MetropolitanArea",17,16,"NotBlack",959.16
"5","West","MetropolitanArea",6,12,"NotBlack",154.32
"6","Midwest","MetropolitanArea",24,17,"Black",282.19
"7","Northeast","MetropolitanArea",14,12,"NotBlack",444.44
"8","Northeast","MetropolitanArea",28,12,"NotBlack",451.09
"9","South","MetropolitanArea",40,12,"NotBlack",490.27
"10","South","MetropolitanArea",7,16,"NotBlack",493.83
"11","Northeast","MetropolitanArea",3,15,"NotBlack",427.35
"12","Midwest","MetropolitanArea",5,12,"NotBlack",379.87
"13","Northeast","MetropolitanArea",17,17,"NotBlack",1369.9
"14","South","MetropolitanArea",24,12,"NotBlack",227.92
"15","Northeast","MetropolitanArea",11,16,"NotBlack",712.25
"16","West","MetropolitanArea",9,18,"NotBlack",1187.08
"17","Midwest","MetropolitanArea",0,16,"NotBlack",427.35
"18","South","MetropolitanArea",13,12,"NotBlack",474.83
"19","South","NotMetropolitanArea",10,12,"NotBlack",385.8
"20","Northeast","MetropolitanArea",8,12,"NotBlack",522.32
"21","Northeast","MetropolitanArea",42,12,"NotBlack",493.83
"22","Northeast","MetropolitanArea",24,14,"NotBlack",864.2
"23","South","MetropolitanArea",11,12,"Black",394.01
"24","Midwest","MetropolitanArea",9,15,"NotBlack",427.35
"25","Midwest","NotMetropolitanArea",43,12,"NotBlack",213.68
"26","South","NotMetropolitanArea",4,14,"NotBlack",356.13
"27","South","NotMetropolitanArea",15,14,"NotBlack",356.13
"28","Northeast","MetropolitanArea",40,18,"NotBlack",1590.69
"29","Midwest","MetropolitanArea",10,14,"NotBlack",783.48
"30","West","MetropolitanArea",43,10,"NotBlack",897.87
"31","South","NotMetropolitanArea",5,12,"NotBlack",356.13
"32","Northeast","MetropolitanArea",14,16,"NotBlack",505.7
"33","South","NotMetropolitanArea",4,16,"NotBlack",593.54
"34","Midwest","NotMetropolitanArea",12,12,"NotBlack",688.51
"35","Midwest","MetropolitanArea",3,13,"NotBlack",356.13
"36","Northeast","MetropolitanArea",2,16,"Black",237.42
"37","Northeast","MetropolitanArea",23,12,"NotBlack",688.51
"38","Midwest","NotMetropolitanArea",10,12,"NotBlack",605.29
"39","Northeast","MetropolitanArea",37,7,"NotBlack",306.27
"40","West","MetropolitanArea",10,12,"NotBlack",1068.38
"41","Northeast","MetropolitanArea",5,12,"NotBlack",270.66
"42","Midwest","MetropolitanArea",5,12,"NotBlack",308.64
"43","Northeast","MetropolitanArea",49,6,"NotBlack",592.59
"44","South","NotMetropolitanArea",2,12,"NotBlack",244.44
"45","South","NotMetropolitanArea",47,6,"Black",142.45
"46","West","MetropolitanArea",15,12,"NotBlack",997.15
"47","West","MetropolitanArea",41,14,"NotBlack",854.7
"48","South","MetropolitanArea",9,12,"NotBlack",284.9
"49","Northeast","MetropolitanArea",33,18,"Black",949.67
"50","Northeast","MetropolitanArea",6,12,"Black",356.13
"51","South","MetropolitanArea",26,12,"NotBlack",617.28
"52","West","MetropolitanArea",7,12,"NotBlack",370.37
"53","Northeast","MetropolitanArea",0,13,"NotBlack",617.28
"54","South","MetropolitanArea",12,12,"NotBlack",379.87
"55","West","MetropolitanArea",23,13,"NotBlack",617.28
"56","West","MetropolitanArea",28,16,"NotBlack",712.25
"57","Northeast","MetropolitanArea",18,18,"NotBlack",1210.83
"58","Midwest","MetropolitanArea",6,12,"NotBlack",712.25
"59","Midwest","MetropolitanArea",37,11,"NotBlack",854.7
"60","South","MetropolitanArea",3,18,"NotBlack",1092.12
"61","Midwest","MetropolitanArea",7,14,"NotBlack",569.8
"62","South","MetropolitanArea",43,5,"NotBlack",427.35
"63","South","MetropolitanArea",15,16,"NotBlack",902.18
"64","West","MetropolitanArea",22,12,"NotBlack",395.3
"65","Midwest","MetropolitanArea",19,18,"NotBlack",807.22
"66","South","MetropolitanArea",3,16,"NotBlack",384.62
"67","Midwest","NotMetropolitanArea",29,12,"NotBlack",973.41
"68","West","NotMetropolitanArea",6,18,"NotBlack",375.74
"69","Northeast","MetropolitanArea",34,14,"NotBlack",262.84
"70","Northeast","MetropolitanArea",11,14,"NotBlack",712.25
"71","Northeast","MetropolitanArea",24,14,"NotBlack",498.58
"72","Northeast","NotMetropolitanArea",22,12,"NotBlack",225.93
"73","South","NotMetropolitanArea",44,11,"NotBlack",284.32
"74","Northeast","MetropolitanArea",27,18,"NotBlack",3600.82
"75","Midwest","MetropolitanArea",24,16,"NotBlack",913.58
"76","South","MetropolitanArea",21,12,"NotBlack",284.9
"77","West","MetropolitanArea",19,18,"NotBlack",427.35
"78","West","NotMetropolitanArea",23,12,"NotBlack",556.77
"79","Midwest","NotMetropolitanArea",30,13,"NotBlack",1163.34
"80","Midwest","NotMetropolitanArea",20,12,"NotBlack",131.8
"81","West","MetropolitanArea",14,12,"NotBlack",854.7
"82","Northeast","MetropolitanArea",29,14,"Black",712.25
"83","Northeast","NotMetropolitanArea",32,16,"NotBlack",1733.14
