"","Region","MetropolitanStatus","Age","EducationCategory","EducationCode","Race","WeeklyEarnings"
"1","West","Not Metropolitan",64,"SomeCollegeButNoDegree",40,"White",1418.84
"2","Midwest","Metropolitan",51,"AssocDegAcadem",42,"White",1000
"3","South","Metropolitan",25,"NinthGrade",35,"White",420
"4","West","Not Metropolitan",46,"MastersDegree",44,"White",1980
"5","Northeast","Metropolitan",31,"BachelorsDegree",43,"White",1750
"6","Midwest","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",1250
"7","Northeast","Metropolitan",58,"BachelorsDegree",43,"White",2692.3
"8","South","Metropolitan",44,"TenthGrade",36,"White",400
"9","Midwest","Metropolitan",19,"HighSchoolDiploma",39,"White",660
"10","Midwest","Metropolitan",38,"SomeCollegeButNoDegree",40,"White",300
"11","South","Metropolitan",29,"SomeCollegeButNoDegree",40,"White",420
"12","Midwest","Not Metropolitan",61,"HighSchoolDiploma",39,"White",960
"13","South","Metropolitan",35,"BachelorsDegree",43,"White",692.3
"14","Northeast","Not Metropolitan",45,"SomeCollegeButNoDegree",40,"White",2884.61
"15","South","Metropolitan",33,"BachelorsDegree",43,"White",670
"16","Midwest","Not Metropolitan",44,"AssocDegOccupVocat",41,"White",1333.33
"17","South","Metropolitan",29,"SomeCollegeButNoDegree",40,"White",800
"18","Midwest","Metropolitan",50,"DoctorateDegree",46,"White",2303.84
"19","Northeast","Metropolitan",39,"BachelorsDegree",43,"White",2884.61
"20","West","Metropolitan",45,"TwelthButNoDiploma",38,"White",847.6
"21","South","Not Metropolitan",46,"HighSchoolDiploma",39,"White",1226
"22","West","Metropolitan",34,"SomeCollegeButNoDegree",40,"White",500
"23","South","Metropolitan",37,"BachelorsDegree",43,"White",865.38
"24","Midwest","Metropolitan",23,"BachelorsDegree",43,"White",705
"25","South","Metropolitan",59,"BachelorsDegree",43,"White",336
"26","Northeast","Metropolitan",61,"MastersDegree",44,"White",700
"27","South","Metropolitan",40,"LessThanFirstGrade",31,"White",161.53
"28","South","Metropolitan",29,"SomeCollegeButNoDegree",40,"White",750
"29","Midwest","Metropolitan",41,"HighSchoolDiploma",39,"White",1353.6
"30","West","Not Metropolitan",60,"HighSchoolDiploma",39,"White",1269.23
"31","Midwest","Not Metropolitan",58,"MastersDegree",44,"White",1846
"32","Midwest","Metropolitan",32,"SomeCollegeButNoDegree",40,"White",646
"33","South","Not Metropolitan",27,"BachelorsDegree",43,"White",653
"34","West","Not Metropolitan",56,"EleventhGrade",37,"White",319
"35","West","Metropolitan",26,"SomeCollegeButNoDegree",40,"White",376.25
"36","South","Metropolitan",26,"HighSchoolDiploma",39,"White",800
"37","West","Metropolitan",52,"BachelorsDegree",43,"White",480.76
"38","West","Metropolitan",54,"AssocDegAcadem",42,"White",640
"39","Northeast","Not Metropolitan",58,"HighSchoolDiploma",39,"White",1200
"40","Midwest","Metropolitan",39,"ProfSchoolDegree",45,"White",1084
"41","South","Metropolitan",53,"HighSchoolDiploma",39,"White",280
"42","Midwest","Not Metropolitan",41,"HighSchoolDiploma",39,"White",740
"43","Midwest","Metropolitan",65,"SomeCollegeButNoDegree",40,"White",640
"44","South","Not Metropolitan",41,"HighSchoolDiploma",39,"White",570
"45","West","Metropolitan",38,"HighSchoolDiploma",39,"White",692
"46","South","Metropolitan",43,"MastersDegree",44,"White",1923.07
"47","South","Metropolitan",42,"FifthorSixthGrade",33,"White",285
"48","West","Metropolitan",32,"AssocDegAcadem",42,"White",2200
"49","Midwest","Metropolitan",55,"HighSchoolDiploma",39,"Black",390.5
"50","Midwest","Metropolitan",24,"BachelorsDegree",43,"White",1442.3
"51","Midwest","Metropolitan",19,"BachelorsDegree",43,"White",1307
"52","West","Metropolitan",35,"MastersDegree",44,"White",1307.69
