"","CommonName","Genus","Species","Group","BodyMass","ClutchVolume"
"1","Mallard","Anas","platyrhynchos","Mat",1.14,542000
"2","Greylag Goose","Anser","anser","Mat",3.31,797000
"3","Mute Swan","Cygnus","olor","Mat",10.7,1750000
"4","Common Eider","Somateria","mollissima","Mat",2.07,475000
"5","Southern Screamer","Chauna","torquata","BiP",4.4,513000
"6","Alpine Swift","Tachymarptis","melba","BiP",0.103,12400
"7","Crested Treeswift","Hemiprocne","coronata","BiP",0.029,3610
"8","Rufous Hummingbird","Selasphorus","rufus","Mat",0.0035,921
"9","Eurasian Nightjar","Caprimulgus","europaeus","BiP",0.067,15600
"10","Jungle Nightjar","Caprimulgus","indicus","BiP",0.0918,14800
"11","Large-tailed Nightjar","Caprimulgus","macrurus","BiP",0.0662,14400
"12","Lesser Nighthawk","Chordeiles","acutipennis","Mat",0.0485,10800
"13","Pennant-winged Nightjar","Macrodipteryx","vexillarius","Mat",0.0724,9640
"14","Common Potoo","Nyctibius","griseus","BiP",0.173,16300
"15","Tawny Frogmouth","Podargus","strigoides","BiP",0.31,51100
"16","Oilbird","Steatornis","caripensis","BiP",0.408,59500
"17","Southern Cassowary","Casuarius","casuarius","Pat",45.1,3220000
"18","Emu","Dromaius","novaehollandiae","Pat",34.2,5140000
"19","Razorbill","Alca","torda","BiP",0.726,82200
"20","Dovekie","Alle","alle","BiP",0.181,26900
"21","Black Guillemot","Cepphus","grylle","BiP",0.378,92300
"22","Rhinocerous Auklet","Cerorhinca","monocerata","BiP",0.483,75500
"23","Atlantic Puffin","Fratercula","arctica","Mat",0.652,56200
"24","Ancient Murrelet","Synthliboramphus","antiquus","BiP",0.207,70400
"25","Common Murre","Uria","aalge","BiP",0.992,101000
"26","Eurasian Thick-knee","Burhinus","oedicnemus","BiP",0.459,93200
"27","Common Ringed Plover","Charadrius","hiaticula","BiP",0.0641,45800
"28","Snowy Plover","Charadrius","alexandrinus","BiP",0.0423,27600
"29","Eurasian Dotterel","Charadrius","morinellus","Pat",0.12,58900
"30","Eurasian Golden-Plover","Pluvialis","apricaria","BiP",0.214,116000
"31","Northern Lapwing","Vanellus","vanellus","BiP",0.219,102000
"32","Snowy Sheathbill","Chionis","alba","BiP",0.677,98600
"33","Cream-colored Courser","Cursorius","cursor","Mat",0.138,21900
"34","Collared Pratincole","Glareola","pratincola","BiP",0.0849,27800
"35","Egyptian Plover","Pluvianus","aegyptius","BiP",0.082,22200
"36","Double-banded Courser","Rhinoptilus","africanus","BiP",0.0875,8810
"37","Eurasian Oystercatcher","Haematopus","ostralegus","BiP",0.526,161000
"38","Ibisbill","Ibidorhyncha","struthersii","BiP",0.294,135000
"39","Pheasant-tailed Jacana","Hydrophasianus","chirurgus","Pat",0.164,57900
"40","Wattled Jacana","Jacana","jacana","Pat",0.15,38000
"41","Bronze-winged Jacana","Metopidius","indicus","Pat",0.155,44700
"42","Black-headed Gull","Larus","ridibundus","BiP",0.284,149000
"43","Herring Gull","Larus","argentatus","BiP",1.09,259000
"44","Glaucous Gull","Larus","hyperboreus","BiP",1.54,357000
"45","Great Black-backed Gull","Larus","marinus","BiP",1.66,386000
"46","Little Gull","Larus","minutus","BiP",0.118,81900
"47","Ross' Gull","Rhodosthethia","rosea","BiP",0.187,55000
"48","Black-legged Kittiwake","Rissa","tridactyla","BiP",0.408,95400
"49","Plains-wanderer","Pedionomus","torquatus","Pat",0.0632,41800
"50","Black-winged Stilt","Himantopus","himantopus","BiP",0.161,85300
"51","Pied Avocet","Recurvirostra","avosetta","BiP",0.304,119000
"52","Black Skimmer","Rhynchops","niger","Mat",0.302,125000
"53","Greater Painted-Snipe","Rostratula","benghalensis","Pat",0.121,41200
"54","Common Sandpiper","Actitis","hypoleucos","BiP",0.048,47800
