"","Subject","Arith","Word","Parag","Math","AFQT","Income2005"
"1",2,8,15,6,6,6.841,5500
"2",6,30,35,15,23,99.393,65000
"3",7,14,27,8,11,47.412,19000
"4",8,13,35,12,4,44.022,36000
"5",9,21,28,10,13,59.683,65000
"6",13,30,29,13,24,72.313,8000
"7",16,17,30,12,17,50.283,71000
"8",17,29,33,13,21,89.669,43000
"9",18,30,35,14,23,95.977,120000
"10",20,17,28,14,20,67.021,64000
"11",21,29,33,13,25,88.416,253043
"12",22,27,31,14,22,89.167,45300
"13",29,12,9,11,9,25.905,85000
"14",34,8,20,8,3,6.069,150432
"15",37,21,31,13,12,56.29,37000
"16",38,9,17,9,5,12.788,70000
"17",39,16,23,10,8,26.851,67000
"18",41,15,29,11,18,57.095,120000
"19",42,12,17,7,8,22.326,45000
"20",44,17,25,11,9,37.061,7200
"21",46,14,28,15,21,78.095,42000
"22",47,26,33,13,16,75.473,66309
"23",49,26,28,14,14,71.226,34000
"24",57,15,28,11,8,30.83,12000
"25",58,26,35,15,18,91.625,55500
"26",61,28,35,15,25,99.15,63000
"27",62,12,25,10,10,36.384,30000
"28",63,28,35,13,21,87.934,108000
"29",69,27,29,13,21,86.703,120000
"30",73,18,34,13,18,81.527,186135
"31",78,25,35,14,21,85.347,14657
"32",86,4,7,5,9,7.198,14000
"33",87,9,5,5,8,12.463,17000
"34",89,24,34,15,17,84.98,62000
"35",97,17,33,14,15,59.411,49000
"36",105,28,32,14,20,81.787,40000
"37",106,30,35,12,23,87.651,105000
"38",107,19,31,11,16,65.347,43000
"39",117,29,35,15,22,98.349,83000
"40",119,7,31,13,7,27.671,12000
"41",120,30,34,13,25,97.847,150000
"42",121,21,34,14,23,92.618,41000
"43",126,25,30,14,16,67.259,85000
"44",129,28,33,14,23,92.817,80000
"45",133,14,26,13,13,57.983,52000
"46",137,28,31,13,24,87.283,175829
"47",138,24,30,14,23,88.326,8000
"48",139,24,31,14,11,79.832,120000
"49",140,19,34,14,18,72.878,65000
"50",141,21,34,14,21,85.861,44768
"51",143,20,33,11,15,59.838,52000
"52",145,16,31,12,13,62.607,10000
"53",146,29,32,12,21,86.932,50000
"54",147,10,23,10,9,22.466,12000
"55",148,24,30,13,14,74.997,21800
"56",149,14,22,10,10,39.973,95000
"57",152,30,33,14,22,93.332,85000
"58",156,11,13,2,5,4.975,14000
"59",158,22,35,14,22,85.206,35100
"60",160,28,31,13,19,77.44,65000
"61",162,29,35,14,24,98.253,76000
"62",165,16,25,13,12,46.506,50000
"63",166,21,28,11,16,58.432,82000
"64",174,17,29,12,17,47.279,48000
"65",179,16,28,10,11,30.455,29000
"66",184,21,28,13,16,59.078,6000
"67",185,15,28,13,12,77.155,34000
"68",186,25,31,15,18,81.515,65000
"69",188,7,22,11,4,11.983,15000
"70",190,20,31,13,21,73.636,92000
"71",191,19,31,15,20,89.27,118000
"72",192,20,31,12,22,80.48,26000
"73",193,19,29,11,21,45.527,105000
"74",195,28,33,14,22,87.917,348204
"75",197,11,16,6,9,17.107,17000
"76",198,23,27,9,21,64.239,130000
"77",199,6,27,7,10,19.225,38000
"78",200,12,17,13,10,27.551,35000
"79",201,29,35,13,23,86.603,16000
"80",202,25,31,12,20,73.184,55000
"81",207,17,12,5,9,25.802,32000
"82",210,16,25,12,20,59.04,50000
"83",218,28,34,13,24,81.447,261763
"84",219,22,28,13,16,60.012,102000
"85",220,27,31,14,25,89.381,105000
"86",228,10,7,3,5,2.739,1600
"87",230,9,25,11,10,34.084,55000
"88",232,15,32,12,15,55.78,45000
"89",233,13,18,6,11,31.472,39000
"90",234,16,18,12,9,35.461,140000
"91",235,22,26,10,22,61.313,98000
"92",236,18,30,14,17,71.673,30000
"93",239,6,14,4,12,13.294,9000
"94",240,18,29,9,12,50.483,38000
"95",242,10,27,10,12,30.481,75000
"96",243,26,32,11,18,62.957,94600
"97",244,24,34,14,17,73.828,5000
"98",245,29,30,13,23,81.929,25000
"99",247,24,30,11,18,52.544,79000
"100",248,8,19,7,5,8.261,2000
"101",253,15,23,3,10,34.745,20000
"102",256,17,27,14,12,56.308,3000
"103",257,16,24,12,12,58.214,22000
"104",259,26,30,12,16,56.348,14000
"105",260,26,34,12,24,83.227,65000
"106",269,26,32,14,23,83.698,154541
"107",273,23,33,10,18,64.372,61500
"108",274,29,32,14,19,88.343,45000
"109",275,21,30,13,15,72.963,52000
"110",279,14,34,11,11,59.272,64500
"111",281,29,29,11,23,72.769,99000
"112",282,25,27,14,24,85.4,14000
"113",283,11,24,8,6,15.136,53000
"114",284,16,30,12,9,44.708,90000
"115",285,7,13,9,10,15.448,35000
"116",290,9,11,7,6,11.136,19000
"117",294,12,33,14,12,62.191,12000
"118",299,8,18,7,4,12.439,25000
"119",306,11,20,13,7,27.277,40000
"120",310,18,19,5,5,18.491,70000
"121",313,12,26,8,8,30.794,37000
"122",317,25,35,12,21,78.739,31500
"123",321,24,32,14,21,76.525,69000
"124",323,24,25,13,21,65.825,80000
"125",324,11,11,4,7,10.373,23000
"126",327,28,35,13,22,88.257,28000
"127",335,20,27,14,18,62.746,10000
"128",341,15,32,12,14,46.696,125000
"129",342,29,34,14,24,95.123,96000
"130",346,15,25,12,10,43.221,120000
"131",348,20,29,11,15,36.155,164307
"132",350,15,25,12,16,47.18,100000
"133",351,9,26,8,7,19.021,39000
"134",354,23,34,12,15,65.997,9600
"135",355,16,27,10,13,55.481,120000
"136",356,17,30,11,7,41.794,50000
"137",357,14,34,14,13,68.746,80000
"138",358,14,25,11,8,28.374,110000
"139",359,9,26,13,8,37.74,60000
"140",360,27,30,14,25,80.272,34000
"141",362,16,23,6,9,19.625,48000
"142",367,25,33,13,20,76.624,58000
"143",369,29,33,14,24,91.042,12000
"144",370,28,35,13,22,89.893,20000
"145",373,9,21,10,5,11.771,9000
"146",375,13,10,7,7,11.374,17500
"147",376,30,32,14,12,83.17,47000
"148",377,15,32,6,7,32.899,10000
"149",381,24,28,11,14,49.149,105000
"150",385,12,28,10,10,39.687,41500
"151",386,12,33,13,12,63.197,43000
"152",388,20,35,13,15,78.241,70000
"153",391,9,24,5,9,23.959,35000
"154",392,29,33,15,20,93.142,60000
"155",393,27,31,9,24,76.768,68000
"156",399,25,31,14,18,66.314,62500
"157",400,29,35,15,25,100,75000
"158",401,12,21,11,7,24.833,11500
"159",405,9,23,10,6,16.239,26000
"160",408,30,32,15,13,85.102,68000
"161",409,27,35,14,22,90.513,180733
"162",410,19,34,12,14,68.615,31085
"163",411,10,20,7,7,18.169,16000
