"","Species","BodyMass","MaxDist","Type"
"1","Didelphis virginianus",2.415,5.15,"O"
"2","Phascogale tapotafa",0.172,6.8,"C"
"3","Trichosurus vulpecula",2.93,12.8,"C"
"4","Sorex araneus",0.004,0.87,"C"
"5","Scapanus townsendii",0.148,0.86,"O"
"6","Ursus americanus",104.45,225,"O"
"7","Ursus arctos",331,134,"O"
"8","Procyon lotor",7.8,265.5,"O"
"9","Martes americana",1.04,61,"C"
"10","Martes pennanti",2.9,23,"C"
"11","Mustela erminea",0.067,5.6,"C"
"12","Mustela vison",1.169,45.1,"C"
"13","Lutra canadensis",9.07,42,"C"
"14","Gulo gulo",14.4,300,"C"
"15","Taxidea taxus",6.975,110,"C"
"16","Meles meles",10.85,8.3,"O"
"17","Mephitis mephitis",2.909,8.3,"O"
"18","Canis latrans",14.06,232.2,"C"
"19","Canis lupus",41.38,432,"C"
"20","Vulpes vulpes",5.2,394,"C"
"21","Urocyon cinereoargenteus",4,83.68,"C"
"22","Felis concolor",53.05,274,"C"
"23","Lynx lynx",10.149,9.7,"C"
"24","Lynx rufus",8.9,182,"C"
"25","Castor canadensis",24.3,40.6,"H"
"26","Marmota flaviventris",5.448,1.4,"H"
"27","Marmota monax",3.499,0.77,"H"
"28","Spermophilus richardsonii",0.405,0.98,"H"
"29","Spermophilus beecheyi",0.475,1.44,"H"
"30","Spermophilus beldingi",0.4,0.33,"H"
"31","Spermophilus leucopus",0.192,0.52,"H"
"32","Spermophilus tridecemliniatus",0.14,0.24,"H"
"33","Sciurus niger",0.79,3.37,"H"
"34","Tamiasciurus hudsonicus",0.202,0.6,"H"
"35","Thomomys bottae",0.15,0.3,"C"
"36","Perognathus formosa",0.023,0.85,"H"
"37","Dipodomys merriami",0.043,0.25,"H"
"38","Dipodomys microps",0.065,0.43,"H"
"39","Dipodomys spectabilis",0.115,2,"H"
"40","Neotoma cinerea",0.36,2.2,"H"
"41","Clethrionomys glareolus",0.023,0.4,"H"
"42","Onychomys torridus",26.8,0.33,"H"
"43","Microtus agrestis",0.023,0.19,"H"
"44","Microtus arvalis",0.022,0.2,"H"
"45","Microtus ochrogaster",0.031,0.14,"H"
"46","Microtus oeconomus",0.032,1,"H"
"47","Microtus pennsylvanicus",0.04,0.25,"H"
"48","Microtus townsendi",0.032,0.07,"H"
"49","Microtus xanthognathus",135,0.3,"H"
"50","Peromyscus californicus",0.018,0.79,"H"
"51","Peromyscus longicaudus",0.008,0.24,"H"
"52","Peromyscus maniculatus",0.015,1.01,"O"
"53","Apodemus sylvaticus",0.02,0.5,"H"
"54","Ondatra zibethicus",1.048,3.37,"H"
"55","Lepus americanus",1.43,20.1,"H"
"56","Lepus europea",4.5,9,"H"
"57","Lepus timidus",2.75,200,"H"
"58","Lepus californicus",2.2,45,"H"
"59","Sylvilagus bachmani",0.841,0.35,"H"
"60","Sylvilagus floridanus",1.15,3.9,"H"
"61","Odocoileus hemionus columbianus",64.638,15.2,"H"
"62","Odocoileus hemionus hemionus",67.125,8.22,"H"
"63","Alces alces",481.83,118,"H"
"64","Cervus canadensis",270,18.5,"H"
