"","Region","MetropolitanStatus","Age","Sex","MaritalStatus","EdCode","Education","JobClass","WeeklyEarnings"
"1","West","Not Metropolitan",50,"Female","Not Married",39,"HighSchoolDiploma","FedGov",420
"2","South","Metropolitan",46,"Male","Married",43,"BachelorsDegree","FedGov",923.07
"3","South","Metropolitan",30,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",810
"4","West","Metropolitan",64,"Male","Married",39,"HighSchoolDiploma","FedGov",673
"5","West","Not Metropolitan",55,"Male","Married",43,"BachelorsDegree","FedGov",700
"6","West","Metropolitan",40,"Female","Married",33,"FifthorSixthGrade","FedGov",1012.5
"7","South","Metropolitan",35,"Female","Not Married",45,"ProfSchoolDegree","FedGov",2000
"8","West","Metropolitan",50,"Male","Married",39,"HighSchoolDiploma","FedGov",1038.46
"9","South","Metropolitan",47,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1750
"10","Northeast","Metropolitan",39,"Female","Married",43,"BachelorsDegree","FedGov",1000
"11","South","Metropolitan",52,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",880
"12","Midwest","Metropolitan",65,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",1057.69
"13","Northeast","Metropolitan",53,"Male","Not Married",43,"BachelorsDegree","FedGov",2557.69
"14","Midwest","Metropolitan",58,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1600
"15","Midwest","Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","FedGov",1019.23
"16","West","Metropolitan",34,"Male","Married",39,"HighSchoolDiploma","FedGov",1192.3
"17","West","Metropolitan",47,"Male","Married",42,"AssocDegAcadem","FedGov",560
"18","Midwest","Not Metropolitan",57,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",620
"19","South","Metropolitan",61,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1080
"20","South","Metropolitan",47,"Female","Not Married",46,"DoctorateDegree","FedGov",2307.69
"21","South","Metropolitan",44,"Female","Married",43,"BachelorsDegree","FedGov",2019.23
"22","West","Metropolitan",73,"Male","Not Married",45,"ProfSchoolDegree","FedGov",2307.69
"23","West","Metropolitan",51,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1634.61
"24","South","Metropolitan",29,"Male","Not Married",44,"MastersDegree","FedGov",961.53
"25","West","Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","FedGov",1000
"26","South","Metropolitan",48,"Female","Married",43,"BachelorsDegree","FedGov",1900
"27","Midwest","Metropolitan",55,"Male","Married",39,"HighSchoolDiploma","FedGov",1040
"28","Midwest","Not Metropolitan",40,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",440
"29","West","Metropolitan",54,"Female","Not Married",43,"BachelorsDegree","FedGov",800
"30","Midwest","Metropolitan",21,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",420
"31","West","Metropolitan",34,"Male","Married",39,"HighSchoolDiploma","FedGov",320
"32","West","Metropolitan",30,"Male","Married",44,"MastersDegree","FedGov",2115.38
"33","Midwest","Metropolitan",49,"Female","Not Married",42,"AssocDegAcadem","FedGov",1280.17
"34","South","Metropolitan",25,"Male","Married",39,"HighSchoolDiploma","FedGov",1096.15
"35","West","Not Metropolitan",48,"Female","Married",43,"BachelorsDegree","FedGov",1153.84
"36","West","Metropolitan",46,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1436.4
"37","Midwest","Metropolitan",49,"Female","Not Married",36,"TenthGrade","FedGov",436.15
"38","West","Metropolitan",54,"Female","Married",39,"HighSchoolDiploma","FedGov",290
"39","West","Metropolitan",40,"Male","Married",44,"MastersDegree","FedGov",1538
"40","South","Metropolitan",62,"Male","Married",42,"AssocDegAcadem","FedGov",1080
"41","South","Metropolitan",36,"Male","Married",39,"HighSchoolDiploma","FedGov",1000
"42","South","Metropolitan",44,"Male","Married",39,"HighSchoolDiploma","FedGov",430
"43","South","Metropolitan",58,"Male","Not Married",43,"BachelorsDegree","FedGov",903.84
"44","South","Metropolitan",52,"Male","Married",39,"HighSchoolDiploma","FedGov",923
"45","Northeast","Metropolitan",42,"Male","Married",44,"MastersDegree","FedGov",1850
"46","West","Metropolitan",54,"Female","Married",43,"BachelorsDegree","FedGov",1960
"47","Midwest","Metropolitan",52,"Male","Married",43,"BachelorsDegree","FedGov",2038
"48","Northeast","Metropolitan",65,"Male","Married",39,"HighSchoolDiploma","FedGov",2000
"49","South","Metropolitan",29,"Male","Married",43,"BachelorsDegree","FedGov",2115
"50","South","Metropolitan",39,"Female","Not Married",39,"HighSchoolDiploma","FedGov",960
"51","West","Metropolitan",26,"Female","Not Married",43,"BachelorsDegree","FedGov",452.3
"52","West","Metropolitan",54,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",1538.46
"53","South","Metropolitan",37,"Female","Not Married",39,"HighSchoolDiploma","FedGov",423.15
"54","Midwest","Metropolitan",30,"Male","Married",46,"DoctorateDegree","FedGov",1384.61
"55","Northeast","Metropolitan",59,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1057.69
"56","Midwest","Not Metropolitan",47,"Male","Not Married",41,"AssocDegOccupVocat","FedGov",1153.84
"57","Midwest","Metropolitan",32,"Female","Not Married",41,"AssocDegOccupVocat","FedGov",961.53
"58","West","Metropolitan",32,"Male","Not Married",42,"AssocDegAcadem","FedGov",2884.61
"59","South","Metropolitan",54,"Male","Not Married",42,"AssocDegAcadem","FedGov",1326.92
"60","Northeast","Metropolitan",44,"Female","Married",43,"BachelorsDegree","FedGov",500
"61","South","Metropolitan",50,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1088
"62","South","Metropolitan",58,"Male","Married",42,"AssocDegAcadem","FedGov",1230
"63","Midwest","Metropolitan",68,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",2500
"64","West","Metropolitan",45,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",960
"65","Northeast","Metropolitan",42,"Male","Married",42,"AssocDegAcadem","FedGov",1000
"66","Midwest","Metropolitan",62,"Male","Married",44,"MastersDegree","FedGov",1656
"67","South","Metropolitan",42,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1153.84
"68","South","Metropolitan",30,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1679.8
"69","South","Metropolitan",43,"Male","Married",44,"MastersDegree","FedGov",1730
"70","Midwest","Metropolitan",57,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",600
"71","Northeast","Not Metropolitan",53,"Male","Married",41,"AssocDegOccupVocat","FedGov",1226
"72","South","Not Metropolitan",41,"Female","Married",39,"HighSchoolDiploma","FedGov",807.69
"73","South","Metropolitan",54,"Male","Not Married",39,"HighSchoolDiploma","FedGov",673.07
"74","South","Metropolitan",55,"Male","Married",44,"MastersDegree","FedGov",2884.61
"75","South","Metropolitan",49,"Male","Married",44,"MastersDegree","FedGov",2884.61
"76","Midwest","Metropolitan",53,"Male","Married",44,"MastersDegree","FedGov",1326
"77","Midwest","Metropolitan",61,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1384
"78","Midwest","Metropolitan",31,"Female","Married",43,"BachelorsDegree","FedGov",2000
"79","West","Metropolitan",50,"Male","Married",43,"BachelorsDegree","FedGov",1500
"80","South","Metropolitan",36,"Male","Married",46,"DoctorateDegree","FedGov",2884.61
"81","South","Not Metropolitan",50,"Male","Not Married",41,"AssocDegOccupVocat","FedGov",673.07
"82","Midwest","Not Metropolitan",55,"Male","Married",41,"AssocDegOccupVocat","FedGov",1000
"83","South","Metropolitan",35,"Male","Not Married",42,"AssocDegAcadem","FedGov",1451.2
"84","Midwest","Metropolitan",29,"Male","Married",44,"MastersDegree","FedGov",1153.84
"85","West","Metropolitan",36,"Male","Not Married",41,"AssocDegOccupVocat","FedGov",480
"86","South","Metropolitan",48,"Male","Married",44,"MastersDegree","FedGov",1500
"87","Midwest","Metropolitan",55,"Female","Married",43,"BachelorsDegree","FedGov",869
"88","South","Metropolitan",29,"Male","Not Married",39,"HighSchoolDiploma","FedGov",769.23
"89","West","Not Metropolitan",53,"Male","Married",43,"BachelorsDegree","FedGov",923.07
"90","Midwest","Metropolitan",60,"Male","Married",42,"AssocDegAcadem","FedGov",2884.61
"91","West","Metropolitan",52,"Male","Not Married",31,"LessThanFirstGrade","FedGov",390
"92","Northeast","Metropolitan",29,"Male","Married",43,"BachelorsDegree","FedGov",1730.76
"93","South","Metropolitan",33,"Male","Married",45,"ProfSchoolDegree","FedGov",2115.38
"94","West","Metropolitan",44,"Female","Not Married",44,"MastersDegree","FedGov",1923.07
"95","Northeast","Metropolitan",50,"Male","Not Married",39,"HighSchoolDiploma","FedGov",880
"96","West","Metropolitan",58,"Male","Married",42,"AssocDegAcadem","FedGov",1040.5
"97","Northeast","Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","FedGov",315
"98","West","Metropolitan",23,"Male","Not Married",39,"HighSchoolDiploma","FedGov",500
"99","Midwest","Metropolitan",52,"Male","Married",43,"BachelorsDegree","FedGov",1328
"100","West","Metropolitan",63,"Male","Married",46,"DoctorateDegree","FedGov",2673.07
"101","Northeast","Metropolitan",46,"Female","Not Married",44,"MastersDegree","FedGov",1538.46
"102","South","Metropolitan",53,"Male","Married",39,"HighSchoolDiploma","FedGov",961
"103","West","Metropolitan",58,"Male","Married",43,"BachelorsDegree","FedGov",1200
"104","Northeast","Metropolitan",53,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1064
"105","West","Not Metropolitan",28,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",520
"106","Midwest","Metropolitan",60,"Female","Married",39,"HighSchoolDiploma","FedGov",633
"107","Midwest","Metropolitan",38,"Male","Married",43,"BachelorsDegree","FedGov",2403.84
"108","South","Metropolitan",41,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",639
"109","South","Metropolitan",47,"Male","Not Married",42,"AssocDegAcadem","FedGov",1711.53
"110","South","Metropolitan",62,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1788.46
"111","Midwest","Metropolitan",37,"Male","Married",43,"BachelorsDegree","FedGov",923.07
"112","West","Metropolitan",53,"Male","Not Married",43,"BachelorsDegree","FedGov",1538.46
"113","South","Metropolitan",51,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1153.84
"114","South","Metropolitan",46,"Male","Not Married",45,"ProfSchoolDegree","FedGov",1442
"115","South","Metropolitan",56,"Female","Married",43,"BachelorsDegree","FedGov",2326.92
"116","South","Metropolitan",42,"Female","Not Married",39,"HighSchoolDiploma","FedGov",560
"117","South","Metropolitan",37,"Male","Married",46,"DoctorateDegree","FedGov",1596.15
"118","West","Not Metropolitan",47,"Female","Married",43,"BachelorsDegree","FedGov",1057.69
"119","South","Metropolitan",33,"Male","Not Married",44,"MastersDegree","FedGov",700
"120","South","Metropolitan",57,"Female","Married",44,"MastersDegree","FedGov",1923
"121","West","Not Identified",54,"Male","Not Married",43,"BachelorsDegree","FedGov",2884.61
"122","Northeast","Not Metropolitan",57,"Male","Not Married",44,"MastersDegree","FedGov",710.88
"123","Midwest","Metropolitan",50,"Female","Married",43,"BachelorsDegree","FedGov",800
"124","West","Metropolitan",29,"Male","Married",42,"AssocDegAcadem","FedGov",884.61
"125","Northeast","Metropolitan",57,"Male","Married",39,"HighSchoolDiploma","FedGov",2884.61
"126","South","Metropolitan",54,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",2150
"127","Midwest","Metropolitan",43,"Male","Not Married",39,"HighSchoolDiploma","FedGov",450
"128","South","Metropolitan",53,"Male","Not Married",44,"MastersDegree","FedGov",2057.69
"129","West","Metropolitan",34,"Female","Not Married",43,"BachelorsDegree","FedGov",2307.69
"130","Midwest","Not Metropolitan",68,"Male","Not Married",43,"BachelorsDegree","FedGov",675.2
"131","South","Metropolitan",53,"Male","Married",44,"MastersDegree","FedGov",1057.69
"132","Midwest","Metropolitan",53,"Male","Not Married",39,"HighSchoolDiploma","FedGov",961.53
"133","South","Metropolitan",30,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",961
"134","Midwest","Not Metropolitan",43,"Female","Not Married",39,"HighSchoolDiploma","FedGov",987
"135","West","Not Metropolitan",59,"Male","Married",39,"HighSchoolDiploma","FedGov",900
"136","Midwest","Metropolitan",23,"Female","Not Married",43,"BachelorsDegree","FedGov",553.2
"137","South","Metropolitan",47,"Female","Married",44,"MastersDegree","FedGov",1480.76
"138","West","Metropolitan",30,"Male","Not Married",44,"MastersDegree","FedGov",1538.46
"139","West","Metropolitan",50,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",480
"140","South","Metropolitan",59,"Female","Married",43,"BachelorsDegree","FedGov",1840
"141","Northeast","Metropolitan",56,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",1346.15
"142","South","Metropolitan",56,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",1600
"143","Midwest","Not Metropolitan",60,"Female","Not Married",43,"BachelorsDegree","FedGov",750
"144","South","Metropolitan",50,"Male","Not Married",43,"BachelorsDegree","FedGov",1576.92
"145","South","Metropolitan",45,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",750
"146","Northeast","Metropolitan",57,"Male","Married",39,"HighSchoolDiploma","FedGov",1040
"147","Northeast","Metropolitan",58,"Male","Married",44,"MastersDegree","FedGov",2019.23
"148","West","Metropolitan",32,"Male","Not Married",42,"AssocDegAcadem","FedGov",2200
"149","South","Not Metropolitan",26,"Male","Not Married",39,"HighSchoolDiploma","FedGov",769
"150","West","Metropolitan",38,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",540
"151","Midwest","Metropolitan",58,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",630
"152","Northeast","Metropolitan",33,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",560
"153","West","Metropolitan",48,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",500
"154","South","Metropolitan",56,"Female","Married",39,"HighSchoolDiploma","FedGov",440
"155","Midwest","Metropolitan",32,"Female","Not Married",44,"MastersDegree","FedGov",1038.46
"156","Northeast","Metropolitan",56,"Male","Married",39,"HighSchoolDiploma","FedGov",2076.92
"157","South","Metropolitan",64,"Male","Married",43,"BachelorsDegree","FedGov",1903.84
"158","West","Metropolitan",62,"Male","Married",37,"EleventhGrade","FedGov",2884.61
"159","South","Metropolitan",33,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1461.53
"160","Midwest","Metropolitan",49,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1440
"161","Midwest","Metropolitan",38,"Male","Not Married",43,"BachelorsDegree","FedGov",961.53
"162","Northeast","Not Metropolitan",57,"Female","Married",41,"AssocDegOccupVocat","FedGov",587.1
"163","South","Metropolitan",31,"Male","Not Married",44,"MastersDegree","FedGov",1307.69
"164","West","Metropolitan",51,"Male","Married",39,"HighSchoolDiploma","FedGov",980.76
"165","Northeast","Metropolitan",76,"Male","Married",39,"HighSchoolDiploma","FedGov",1222.51
"166","South","Metropolitan",38,"Female","Married",43,"BachelorsDegree","FedGov",615.38
"167","South","Metropolitan",28,"Male","Not Married",43,"BachelorsDegree","FedGov",961.53
"168","South","Metropolitan",52,"Female","Not Married",44,"MastersDegree","FedGov",2211.53
"169","West","Metropolitan",51,"Male","Not Married",31,"LessThanFirstGrade","FedGov",390
"170","Northeast","Metropolitan",41,"Male","Not Married",39,"HighSchoolDiploma","FedGov",787.6
"171","West","Metropolitan",61,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",600
"172","South","Metropolitan",39,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",769
"173","Northeast","Metropolitan",44,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",650
"174","West","Metropolitan",28,"Male","Not Married",42,"AssocDegAcadem","FedGov",1100
"175","South","Metropolitan",55,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",961
"176","South","Metropolitan",49,"Male","Married",46,"DoctorateDegree","FedGov",2884.61
"177","Midwest","Metropolitan",34,"Male","Married",43,"BachelorsDegree","FedGov",1634.61
"178","South","Metropolitan",56,"Male","Married",43,"BachelorsDegree","FedGov",1269
"179","South","Metropolitan",59,"Male","Married",43,"BachelorsDegree","FedGov",884.61
"180","Midwest","Metropolitan",49,"Female","Married",39,"HighSchoolDiploma","FedGov",711.53
"181","South","Metropolitan",41,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",961
"182","West","Metropolitan",65,"Female","Married",44,"MastersDegree","FedGov",1000
"183","West","Not Metropolitan",52,"Male","Not Married",45,"ProfSchoolDegree","FedGov",2884.61
"184","West","Metropolitan",53,"Female","Married",43,"BachelorsDegree","FedGov",1057.69
"185","South","Metropolitan",52,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",788.46
"186","West","Metropolitan",36,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",850
"187","Northeast","Metropolitan",57,"Male","Married",44,"MastersDegree","FedGov",2250
"188","Northeast","Metropolitan",52,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",2884.61
"189","South","Metropolitan",46,"Male","Married",44,"MastersDegree","FedGov",1673.07
"190","South","Metropolitan",49,"Female","Married",43,"BachelorsDegree","FedGov",1096.15
"191","South","Metropolitan",30,"Male","Married",43,"BachelorsDegree","FedGov",1245
"192","South","Metropolitan",24,"Male","Not Married",42,"AssocDegAcadem","FedGov",440
"193","Northeast","Metropolitan",40,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1526
"194","Midwest","Metropolitan",56,"Male","Married",43,"BachelorsDegree","FedGov",1538
"195","South","Metropolitan",28,"Female","Not Married",43,"BachelorsDegree","FedGov",1634.61
"196","South","Metropolitan",25,"Male","Not Married",43,"BachelorsDegree","FedGov",538.46
"197","South","Metropolitan",41,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",576
"198","South","Metropolitan",35,"Male","Not Married",44,"MastersDegree","FedGov",882.69
"199","South","Metropolitan",32,"Male","Married",44,"MastersDegree","FedGov",2076.92
"200","South","Metropolitan",55,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",1346.15
"201","South","Metropolitan",60,"Female","Married",43,"BachelorsDegree","FedGov",2500
"202","South","Metropolitan",56,"Male","Married",43,"BachelorsDegree","FedGov",1867.04
"203","Midwest","Metropolitan",29,"Male","Married",44,"MastersDegree","FedGov",1384
"204","South","Metropolitan",56,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1050
"205","Northeast","Metropolitan",56,"Female","Married",39,"HighSchoolDiploma","FedGov",634.61
"206","South","Metropolitan",31,"Male","Married",39,"HighSchoolDiploma","FedGov",340
"207","Northeast","Not Metropolitan",50,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",878.8
"208","West","Metropolitan",47,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1482
"209","Midwest","Metropolitan",56,"Female","Not Married",44,"MastersDegree","FedGov",2076.92
"210","South","Metropolitan",42,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",923.07
"211","South","Metropolitan",45,"Male","Married",43,"BachelorsDegree","FedGov",1192
"212","West","Metropolitan",53,"Female","Not Married",43,"BachelorsDegree","FedGov",2153.84
"213","South","Metropolitan",22,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",350
"214","Northeast","Metropolitan",45,"Male","Married",43,"BachelorsDegree","FedGov",820
"215","South","Metropolitan",57,"Male","Married",41,"AssocDegOccupVocat","FedGov",880
"216","South","Metropolitan",40,"Male","Married",44,"MastersDegree","FedGov",2500
"217","West","Metropolitan",51,"Male","Married",39,"HighSchoolDiploma","FedGov",1192.3
"218","South","Metropolitan",25,"Female","Not Married",43,"BachelorsDegree","FedGov",480
"219","West","Metropolitan",56,"Female","Not Married",39,"HighSchoolDiploma","FedGov",731.4
"220","Midwest","Metropolitan",22,"Male","Not Married",39,"HighSchoolDiploma","FedGov",380
"221","Northeast","Metropolitan",28,"Male","Not Married",43,"BachelorsDegree","FedGov",1100
"222","West","Metropolitan",24,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",672
"223","West","Metropolitan",32,"Female","Not Married",46,"DoctorateDegree","FedGov",1961.53
"224","South","Metropolitan",39,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1384.61
"225","Northeast","Metropolitan",40,"Male","Not Married",46,"DoctorateDegree","FedGov",2884.61
"226","South","Metropolitan",69,"Female","Married",39,"HighSchoolDiploma","FedGov",826.92
"227","Northeast","Metropolitan",46,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1307.69
"228","Northeast","Metropolitan",54,"Male","Married",44,"MastersDegree","FedGov",2115.38
"229","South","Metropolitan",52,"Female","Married",43,"BachelorsDegree","FedGov",2288
"230","South","Metropolitan",56,"Male","Married",44,"MastersDegree","FedGov",1073.6
"231","West","Metropolitan",53,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",1015.38
"232","South","Not Metropolitan",29,"Male","Married",44,"MastersDegree","FedGov",1201.92
"233","South","Metropolitan",57,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",884.61
"234","Northeast","Metropolitan",56,"Male","Married",44,"MastersDegree","FedGov",2884.61
"235","Midwest","Metropolitan",22,"Female","Not Married",42,"AssocDegAcadem","FedGov",703.05
"236","Midwest","Metropolitan",36,"Female","Married",43,"BachelorsDegree","FedGov",1894.23
"237","Midwest","Metropolitan",44,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",1028.84
"238","South","Metropolitan",50,"Male","Not Married",39,"HighSchoolDiploma","FedGov",673.07
