"","Iridium","Strata","DepthCat"
"1",75,"Limestone","1"
"2",200,"Limestone","1"
"3",120,"Limestone","2"
"4",310,"Limestone","2"
"5",290,"Limestone","3"
"6",450,"Limestone","3"
"7",620,"Limestone","3"
"8",170,"Limestone","4"
"9",205,"Limestone","4"
"10",260,"Limestone","4"
"11",120,"Limestone","5"
"12",135,"Limestone","5"
"13",5,"Limestone","6"
"14",90,"Limestone","6"
"15",105,"Limestone","6"
"16",110,"Shale","1"
"17",501,"Shale","1"
"18",315,"Shale","2"
"19",710,"Shale","3"
"20",875,"Shale","3"
"21",400,"Shale","4"
"22",120,"Shale","5"
"23",130,"Shale","5"
"24",135,"Shale","5"
"25",150,"Shale","5"
"26",290,"Shale","5"
"27",145,"Shale","6"
"28",215,"Shale","6"
