"","IQ","Adoptive","Biological"
"1",136,"High","High"
"2",99,"High","High"
"3",121,"High","High"
"4",133,"High","High"
"5",125,"High","High"
"6",131,"High","High"
"7",103,"High","High"
"8",115,"High","High"
"9",116,"High","High"
"10",117,"High","High"
"11",94,"High","Low"
"12",103,"High","Low"
"13",99,"High","Low"
"14",125,"High","Low"
"15",111,"High","Low"
"16",93,"High","Low"
"17",101,"High","Low"
"18",94,"High","Low"
"19",125,"High","Low"
"20",91,"High","Low"
"21",98,"Low","High"
"22",99,"Low","High"
"23",91,"Low","High"
"24",124,"Low","High"
"25",100,"Low","High"
"26",116,"Low","High"
"27",113,"Low","High"
"28",119,"Low","High"
"29",92,"Low","Low"
"30",91,"Low","Low"
"31",98,"Low","Low"
"32",83,"Low","Low"
"33",99,"Low","Low"
"34",68,"Low","Low"
"35",76,"Low","Low"
"36",115,"Low","Low"
"37",86,"Low","Low"
"38",116,"Low","Low"
