"","Sex","Background","Score"
"1","male","a",5
"2","male","a",13
"3","male","a",7
"4","male","a",20
"5","male","a",11
"6","male","a",16
"7","male","a",18
"8","male","a",4
"9","male","a",7
"10","male","a",17
"11","male","a",15
"12","male","a",9
"13","male","a",14
"14","male","a",6
"15","male","a",5
"16","male","a",11
"17","male","a",11
"18","male","a",14
"19","male","a",3
"20","male","a",2
"21","male","a",18
"22","male","a",15
"23","male","a",12
"24","male","a",18
"25","male","a",16
"26","male","a",12
"27","male","a",11
"28","male","a",12
"29","male","a",25
"30","male","a",8
"31","male","a",9
"32","male","a",13
"33","male","a",10
"34","male","a",3
"35","male","a",15
"36","male","a",17
"37","male","a",15
"38","male","a",6
"39","male","a",11
"40","male","a",15
"41","male","a",14
"42","male","a",10
"43","male","a",14
"44","male","a",7
"45","male","a",12
"46","male","a",6
"47","male","a",3
"48","male","a",15
"49","female","a",8
"50","female","a",9
"51","female","a",5
"52","female","a",5
"53","female","a",4
"54","female","a",12
"55","female","a",12
"56","female","a",10
"57","female","a",4
"58","female","a",18
"59","female","a",8
"60","female","a",1
"61","female","a",14
"62","female","a",0
"63","female","a",8
"64","female","a",6
"65","female","a",5
"66","female","a",0
"67","female","a",8
"68","female","a",7
"69","female","a",9
"70","female","a",4
"71","female","a",12
"72","female","a",10
"73","female","a",12
"74","female","a",11
"75","female","a",4
"76","female","a",8
"77","female","a",12
"78","female","a",15
"79","female","a",13
"80","female","a",10
"81","female","a",3
"82","female","a",9
"83","female","a",13
"84","female","a",3
"85","female","a",13
"86","female","a",3
"87","female","a",7
"88","female","a",7
"89","female","a",14
"90","female","a",11
"91","female","a",14
"92","female","a",13
"93","female","a",13
"94","female","a",11
"95","female","a",11
"96","female","a",15
"97","female","a",7
"98","female","a",17
"99","female","a",10
"100","female","a",15
"101","female","a",12
"102","female","a",6
"103","female","a",10
"104","female","a",8
"105","female","a",7
"106","female","a",12
"107","female","a",6
"108","female","a",8
"109","female","a",11
"110","female","a",7
"111","female","a",13
"112","female","a",8
"113","female","a",3
"114","female","a",9
"115","female","a",4
"116","female","a",12
"117","female","a",6
"118","female","a",1
"119","female","a",11
"120","female","a",15
"121","female","a",4
"122","female","a",13
"123","female","a",8
"124","female","a",2
"125","female","a",10
"126","female","a",12
"127","female","a",12
"128","female","a",13
"129","female","a",16
"130","female","a",12
"131","male","b",16
"132","male","b",12
"133","male","b",12
"134","male","b",20
"135","male","b",9
"136","male","b",17
"137","male","b",17
"138","male","b",12
"139","male","b",9
"140","male","b",19
"141","male","b",11
"142","male","b",13
"143","male","b",19
"144","male","b",14
"145","male","b",8
"146","male","b",22
"147","male","b",8
"148","male","b",15
"149","male","b",20
"150","male","b",17
"151","male","b",16
"152","male","b",10
"153","male","b",11
"154","male","b",19
"155","male","b",13
"156","male","b",19
"157","male","b",16
"158","male","b",21
"159","male","b",10
"160","male","b",18
"161","male","b",8
"162","male","b",9
"163","male","b",11
"164","male","b",19
"165","male","b",11
"166","male","b",13
"167","male","b",17
"168","male","b",23
"169","male","b",11
"170","male","b",19
"171","male","b",12
"172","male","b",29
"173","male","b",24
"174","male","b",15
"175","male","b",19
"176","male","b",13
"177","male","b",11
"178","male","b",11
"179","male","b",17
"180","male","b",12
"181","male","b",17
"182","male","b",15
"183","male","b",19
"184","male","b",12
"185","male","b",23
"186","male","b",10
"187","male","b",21
"188","male","b",19
"189","male","b",14
"190","male","b",14
"191","male","b",17
"192","male","b",13
"193","male","b",18
"194","male","b",11
"195","male","b",18
"196","male","b",18
"197","male","b",13
"198","male","b",9
"199","male","b",13
"200","male","b",16
"201","male","b",11
"202","male","b",16
"203","male","b",4
"204","male","b",23
"205","male","b",10
"206","male","b",20
"207","male","b",5
"208","male","b",17
"209","male","b",8
"210","male","b",16
"211","male","b",19
"212","male","b",18
"213","male","b",15
"214","male","b",17
"215","male","b",16
"216","male","b",10
"217","male","b",12
"218","male","b",16
"219","male","b",16
"220","male","b",16
"221","male","b",15
"222","male","b",13
"223","male","b",18
"224","male","b",21
"225","male","b",10
"226","male","b",16
