"","Agent","Treatment","Route","DaysPost","BAT","LH"
"1","AIB","NS","IV",8,23866,10758
"2","AIB","NS","IV",12,10220,8771
"3","AIB","NS","IV",16,9582,7538
"4","MTX","NS","IV",8,2335,1055
"5","MTX","NS","IV",12,1206,1009
"6","MTX","NS","IV",16,2433,1094
"7","DEX70","NS","IV",8,4627,5704
"8","DEX70","NS","IV",12,5533,4780
"9","DEX70","NS","IV",16,6873,6161
"10","AIB","BD","IV",8,123721,10294
"11","AIB","BD","IV",12,88594,6665
"12","AIB","BD","IV",16,142743,8713
"13","MTX","BD","IV",8,5542,1128
"14","MTX","BD","IV",12,33214,2808
"15","MTX","BD","IV",16,7791,1460
"16","DEX70","BD","IV",8,127876,10498
"17","DEX70","BD","IV",12,92892,13104
"18","DEX70","BD","IV",16,7027,6008
"19","AIB","NS","IA",8,18722,7214
"20","AIB","NS","IA",12,24372,9514
"21","AIB","NS","IA",16,15983,6753
"22","MTX","NS","IA",8,4698,1306
"23","MTX","NS","IA",12,4191,1335
"24","MTX","NS","IA",16,7028,1206
"25","DEX70","NS","IA",8,8871,7283
"26","DEX70","NS","IA",12,16864,7377
"27","DEX70","NS","IA",16,23455,5938
"28","AIB","BD","IA",8,303377,6646
"29","AIB","BD","IA",12,144556,5942
"30","AIB","BD","IA",16,177892,6629
"31","MTX","BD","IA",8,17594,695
"32","MTX","BD","IA",12,51134,2431
"33","MTX","BD","IA",16,6554,803
"34","DEX70","BD","IA",8,33875,10237
"35","DEX70","BD","IA",12,238691,16669
"36","DEX70","BD","IA",16,25069,7948
