"","Year","Temperature"
"1",1850,-0.499
"2",1851,-0.383
"3",1852,-0.431
"4",1853,-0.452
"5",1854,-0.478
"6",1855,-0.436
"7",1856,-0.418
"8",1857,-0.561
"9",1858,-0.555
"10",1859,-0.434
"11",1860,-0.4
"12",1861,-0.523
"13",1862,-0.429
"14",1863,-0.412
"15",1864,-0.491
"16",1865,-0.359
"17",1866,-0.346
"18",1867,-0.34
"19",1868,-0.387
"20",1869,-0.414
"21",1870,-0.38
"22",1871,-0.327
"23",1872,-0.326
"24",1873,-0.347
"25",1874,-0.462
"26",1875,-0.321
"27",1876,-0.409
"28",1877,-0.2
"29",1878,-0.159
"30",1879,-0.275
"31",1880,-0.238
"32",1881,-0.202
"33",1882,-0.231
"34",1883,-0.241
"35",1884,-0.301
"36",1885,-0.313
"37",1886,-0.279
"38",1887,-0.452
"39",1888,-0.388
"40",1889,-0.261
"41",1890,-0.475
"42",1891,-0.427
"43",1892,-0.484
"44",1893,-0.463
"45",1894,-0.483
"46",1895,-0.419
"47",1896,-0.276
"48",1897,-0.307
"49",1898,-0.509
"50",1899,-0.393
"51",1900,-0.367
"52",1901,-0.431
"53",1902,-0.463
"54",1903,-0.569
"55",1904,-0.565
"56",1905,-0.46
"57",1906,-0.416
"58",1907,-0.506
"59",1908,-0.609
"60",1909,-0.619
"61",1910,-0.608
"62",1911,-0.676
"63",1912,-0.465
"64",1913,-0.459
"65",1914,-0.325
"66",1915,-0.265
"67",1916,-0.427
"68",1917,-0.465
"69",1918,-0.36
"70",1919,-0.241
"71",1920,-0.301
"72",1921,-0.333
"73",1922,-0.423
"74",1923,-0.39
"75",1924,-0.433
"76",1925,-0.375
"77",1926,-0.271
"78",1927,-0.353
"79",1928,-0.331
"80",1929,-0.395
"81",1930,-0.297
"82",1931,-0.262
"83",1932,-0.268
"84",1933,-0.341
"85",1934,-0.264
"86",1935,-0.28
"87",1936,-0.264
"88",1937,-0.167
"89",1938,-0.139
"90",1939,-0.116
"91",1940,0.013
"92",1941,0.058
"93",1942,-0.046
"94",1943,-0.106
"95",1944,0.053
"96",1945,-0.015
"97",1946,-0.335
"98",1947,-0.28
"99",1948,-0.336
"100",1949,-0.312
"101",1950,-0.349
"102",1951,-0.297
"103",1952,-0.169
"104",1953,-0.191
"105",1954,-0.36
"106",1955,-0.409
"107",1956,-0.375
"108",1957,-0.136
"109",1958,-0.124
"110",1959,-0.142
"111",1960,-0.204
"112",1961,-0.103
"113",1962,-0.148
"114",1963,-0.137
"115",1964,-0.348
"116",1965,-0.237
"117",1966,-0.248
"118",1967,-0.266
"119",1968,-0.233
"120",1969,0.02
"121",1970,-0.074
"122",1971,-0.171
"123",1972,0.074
"124",1973,0.092
"125",1974,-0.169
"126",1975,-0.186
"127",1976,-0.197
"128",1977,0.006
"129",1978,-0.073
"130",1979,0.066
"131",1980,0.08
"132",1981,0.022
"133",1982,0.042
"134",1983,0.186
"135",1984,0.048
"136",1985,0.06
"137",1986,0.053
"138",1987,0.2
"139",1988,0.147
"140",1989,0.073
"141",1990,0.156
"142",1991,0.167
"143",1992,0.088
"144",1993,0.125
"145",1994,0.106
"146",1995,0.154
"147",1996,0.148
"148",1997,0.287
"149",1998,0.46
"150",1999,0.22
"151",2000,0.192
"152",2001,0.33
"153",2002,0.376
"154",2003,0.372
"155",2004,0.299
"156",2005,0.329
"157",2006,0.287
"158",2007,0.216
"159",2008,0.177
"160",2009,0.356
"161",2010,0.329
