"","Year","Sunspots"
"1",1700,5
"2",1701,11
"3",1702,16
"4",1703,23
"5",1704,36
"6",1705,58
"7",1706,29
"8",1707,20
"9",1708,10
"10",1709,8
"11",1710,3
"12",1711,0
"13",1712,0
"14",1713,2
"15",1714,11
"16",1715,27
"17",1716,47
"18",1717,63
"19",1718,60
"20",1719,39
"21",1720,28
"22",1721,26
"23",1722,22
"24",1723,11
"25",1724,21
"26",1725,40
"27",1726,78
"28",1727,122
"29",1728,103
"30",1729,73
"31",1730,47
"32",1731,35
"33",1732,11
"34",1733,5
"35",1734,16
"36",1735,34
"37",1736,70
"38",1737,81
"39",1738,111
"40",1739,101
"41",1740,73
"42",1741,40
"43",1742,20
"44",1743,16
"45",1744,5
"46",1745,11
"47",1746,22
"48",1747,40
"49",1748,60
"50",1749,81
"51",1750,83
"52",1751,48
"53",1752,48
"54",1753,31
"55",1754,12
"56",1755,10
"57",1756,10
"58",1757,32
"59",1758,48
"60",1759,54
"61",1760,63
"62",1761,86
"63",1762,61
"64",1763,45
"65",1764,36
"66",1765,21
"67",1766,11
"68",1767,38
"69",1768,70
"70",1769,106
"71",1770,101
"72",1771,82
"73",1772,67
"74",1773,35
"75",1774,31
"76",1775,7
"77",1776,20
"78",1777,93
"79",1778,154
"80",1779,126
"81",1780,85
"82",1781,68
"83",1782,39
"84",1783,23
"85",1784,10
"86",1785,24
"87",1786,83
"88",1787,132
"89",1788,131
"90",1789,118
"91",1790,90
"92",1791,67
"93",1792,60
"94",1793,47
"95",1794,41
"96",1795,21
"97",1796,16
"98",1797,6
"99",1798,4
"100",1799,7
"101",1800,15
"102",1801,34
"103",1802,45
"104",1803,43
"105",1804,48
"106",1805,42
"107",1806,28
"108",1807,10
"109",1808,8
"110",1809,3
"111",1810,0
"112",1811,1
"113",1812,5
"114",1813,12
"115",1814,14
"116",1815,35
"117",1816,46
"118",1817,41
"119",1818,30
"120",1819,24
"121",1820,16
"122",1821,7
"123",1822,4
"124",1823,2
"125",1824,9
"126",1825,17
"127",1826,36
"128",1827,50
"129",1828,64
"130",1829,67
"131",1830,71
"132",1831,48
"133",1832,28
"134",1833,9
"135",1834,13
"136",1835,57
"137",1836,122
"138",1837,138
"139",1838,103
"140",1839,86
"141",1840,65
"142",1841,37
"143",1842,24
"144",1843,11
"145",1844,15
"146",1845,40
"147",1846,62
"148",1847,99
"149",1848,125
"150",1849,96
"151",1850,67
"152",1851,65
"153",1852,54
"154",1853,39
"155",1854,21
"156",1855,7
"157",1856,4
"158",1857,23
"159",1858,55
"160",1859,94
"161",1860,96
"162",1861,77
"163",1862,59
"164",1863,44
"165",1864,47
"166",1865,31
"167",1866,16
"168",1867,7
"169",1868,38
"170",1869,74
"171",1870,139
"172",1871,111
"173",1872,102
"174",1873,66
"175",1874,45
"176",1875,17
"177",1876,11
"178",1877,12
"179",1878,3
"180",1879,6
"181",1880,32
"182",1881,54
"183",1882,60
"184",1883,64
"185",1884,64
"186",1885,52
"187",1886,25
"188",1887,13
"189",1888,7
"190",1889,6
"191",1890,7
"192",1891,36
"193",1892,73
"194",1893,85
"195",1894,78
"196",1895,64
"197",1896,42
"198",1897,26
"199",1898,27
"200",1899,12
"201",1900,10
"202",1901,3
"203",1902,5
"204",1903,24
"205",1904,42
"206",1905,64
"207",1906,54
"208",1907,62
"209",1908,49
"210",1909,44
"211",1910,19
"212",1911,6
"213",1912,4
"214",1913,1
"215",1914,10
"216",1915,47
"217",1916,57
"218",1917,104
"219",1918,81
"220",1919,64
"221",1920,38
"222",1921,26
"223",1922,14
"224",1923,6
"225",1924,17
"226",1925,44
"227",1926,64
"228",1927,69
"229",1928,78
"230",1929,65
"231",1930,36
"232",1931,21
"233",1932,11
"234",1933,6
"235",1934,9
"236",1935,36
"237",1936,80
"238",1937,114
"239",1938,110
"240",1939,89
"241",1940,68
"242",1941,48
"243",1942,31
"244",1943,16
"245",1944,10
"246",1945,33
"247",1946,93
"248",1947,152
"249",1948,136
"250",1949,135
"251",1950,84
"252",1951,69
"253",1952,32
"254",1953,14
"255",1954,4
"256",1955,38
"257",1956,142
"258",1957,190
"259",1958,185
"260",1959,159
"261",1960,112
"262",1961,54
"263",1962,38
"264",1963,28
"265",1964,10
"266",1965,15
"267",1966,47
"268",1967,94
"269",1968,106
"270",1969,106
"271",1970,105
"272",1971,67
"273",1972,69
"274",1973,38
"275",1974,35
"276",1975,16
"277",1976,13
"278",1977,28
"279",1978,93
"280",1979,155
"281",1980,155
"282",1981,141
"283",1982,116
"284",1983,67
"285",1984,46
"286",1985,18
"287",1986,13
"288",1987,29
"289",1988,100
"290",1989,158
"291",1990,143
"292",1991,146
"293",1992,94
"294",1993,55
"295",1994,30
"296",1995,18
"297",1996,9
"298",1997,22
"299",1998,64
"300",1999,93
"301",2000,120
"302",2001,111
"303",2002,104
"304",2003,64
"305",2004,40
"306",2005,30
"307",2006,15
"308",2007,8
"309",2008,3
"310",2009,3
"311",2010,17
