"","Year","Melanoma","Sunspot"
"1",1936,1,40
"2",1937,0.9,115
"3",1938,0.8,100
"4",1939,1.4,80
"5",1940,1.2,60
"6",1941,1,40
"7",1942,1.5,23
"8",1943,1.9,10
"9",1944,1.5,10
"10",1945,1.5,25
"11",1946,1.5,75
"12",1947,1.6,145
"13",1948,1.8,130
"14",1949,2.8,130
"15",1950,2.5,80
"16",1951,2.5,65
"17",1952,2.4,20
"18",1953,2.1,10
"19",1954,1.9,5
"20",1955,2.4,10
"21",1956,2.4,60
"22",1957,2.6,190
"23",1958,2.6,180
"24",1959,4.4,175
"25",1960,4.2,120
"26",1961,3.8,50
"27",1962,3.4,35
"28",1963,3.6,20
"29",1964,4.1,10
"30",1965,3.7,15
"31",1966,4.2,30
"32",1967,4.1,60
"33",1968,4.1,105
"34",1969,4,105
"35",1970,5.2,105
"36",1971,5.3,80
"37",1972,5.3,65
