"","Year","Lynx","Sunspots"
"1",1821,269,6
"2",1822,321,1
"3",1823,585,6
"4",1824,871,10
"5",1825,1475,23
"6",1826,2921,47
"7",1827,3928,60
"8",1828,5943,61
"9",1829,4950,71
"10",1830,2577,62
"11",1831,523,41
"12",1832,98,14
"13",1833,184,7
"14",1834,279,24
"15",1835,409,93
"16",1836,2285,139
"17",1837,2685,126
"18",1838,3409,82
"19",1839,1824,82
"20",1840,409,50
"21",1841,151,29
"22",1842,45,19
"23",1843,68,12
"24",1844,213,28
"25",1845,546,47
"26",1846,1033,65
"27",1847,2129,123
"28",1848,2536,121
"29",1849,957,78
"30",1850,361,67
"31",1851,377,60
"32",1852,225,45
"33",1853,360,30
"34",1854,731,16
"35",1855,1638,3
"36",1856,2725,9
"37",1857,2871,36
"38",1858,2119,76
"39",1859,684,95
"40",1860,299,91
"41",1861,236,68
"42",1862,245,55
"43",1863,552,43
"44",1864,1623,41
"45",1865,3311,24
"46",1866,6721,7
"47",1867,4254,17
"48",1868,687,57
"49",1869,255,106
"50",1870,473,135
"51",1871,358,98
"52",1872,784,92
"53",1873,1594,52
"54",1874,1676,33
"55",1875,2251,13
"56",1876,1426,13
"57",1877,756,7
"58",1878,299,2
"59",1879,201,16
"60",1880,229,44
"61",1881,469,62
"62",1882,736,55
"63",1883,2042,74
"64",1884,2811,55
"65",1885,4431,41
"66",1886,2511,14
"67",1887,389,11
"68",1888,73,5
"69",1889,39,6
"70",1890,49,17
"71",1891,59,56
"72",1892,188,77
"73",1893,377,87
"74",1894,1292,71
"75",1895,4031,53
"76",1896,3495,35
"77",1897,587,26
"78",1898,105,20
"79",1899,153,11
"80",1900,387,5
"81",1901,758,3
"82",1902,1307,11
"83",1903,3465,33
"84",1904,6991,51
"85",1905,6313,62
"86",1906,3794,60
"87",1907,1836,51
"88",1908,345,51
"89",1909,382,33
"90",1910,808,13
"91",1911,1388,3
"92",1912,2713,3
"93",1913,3800,4
"94",1914,3091,24
"95",1915,2985,59
"96",1916,3790,69
"97",1917,674,98
"98",1918,81,78
"99",1919,80,51
"100",1920,108,31
"101",1921,229,23
"102",1922,399,7
"103",1923,1132,8
"104",1924,2432,24
"105",1925,3574,61
"106",1926,2935,72
"107",1927,1537,69
"108",1928,529,68
"109",1929,485,57
"110",1930,662,28
"111",1931,1000,15
"112",1932,1590,9
"113",1933,2657,5
"114",1934,3396,15
