"","Year","S.P500Return"
"1",1871,1
"2",1872,1.11
"3",1873,1.04
"4",1874,1.15
"5",1875,1.19
"6",1876,1.04
"7",1877,1
"8",1878,1.11
"9",1879,1.63
"10",1880,2.04
"11",1881,2.19
"12",1882,2.26
"13",1883,2.19
"14",1884,1.89
"15",1885,2.37
"16",1886,2.67
"17",1887,2.59
"18",1888,2.67
"19",1889,2.85
"20",1890,2.56
"21",1891,3.15
"22",1892,3.33
"23",1893,2.81
"24",1894,2.85
"25",1895,3
"26",1896,3.04
"27",1897,3.56
"28",1898,4.41
"29",1899,4.81
"30",1900,5.74
"31",1901,6.85
"32",1902,7.19
"33",1903,6.15
"34",1904,8.04
"35",1905,9.63
"36",1906,10.26
"37",1907,7.22
"38",1908,10.44
"39",1909,12.44
"40",1910,11.44
"41",1911,12.11
"42",1912,13.07
"43",1913,11.81
"44",1914,11.37
"45",1915,15.41
"46",1916,16.78
"47",1917,12.52
"48",1918,15.7
"49",1919,18.78
"50",1920,15.22
"51",1921,17.48
"52",1922,22.19
"53",1923,22.81
"54",1924,28.74
"55",1925,37.04
"56",1926,42.11
"57",1927,57.19
"58",1928,83
"59",1929,75.63
"60",1930,56.56
"61",1931,31.81
"62",1932,29.15
"63",1933,44.63
"64",1934,43.56
"65",1935,64
"66",1936,84.7
"67",1937,54.48
"68",1938,72.07
"69",1939,70.96
"70",1940,63.48
"71",1941,55.78
"72",1942,67.48
"73",1943,84.7
"74",1944,101.19
"75",1945,137.96
"76",1946,126.26
"77",1947,132.52
"78",1948,139.07
"79",1949,163.74
"80",1950,212.93
"81",1951,263.78
"82",1952,312.41
"83",1953,308.93
"84",1954,470.93
"85",1955,619.96
"86",1956,662.74
"87",1957,592.96
"88",1958,852.26
"89",1959,954.67
"90",1960,958.96
"91",1961,1216.89
"92",1962,1109.93
"93",1963,1362.15
"94",1964,1585.96
"95",1965,1782.22
"96",1966,1602.19
"97",1967,1987.3
"98",1968,2206.59
"99",1969,2019.78
"100",1970,2100.59
"101",1971,2402.07
"102",1972,2858.37
"103",1973,2433.93
"104",1974,1787
"105",1975,2455.74
"106",1976,3039.15
"107",1977,2814.74
"108",1978,2998.81
"109",1979,3556.3
"110",1980,4716
"111",1981,4481.52
"112",1982,5452.52
"113",1983,6683.33
"114",1984,7097.3
"115",1985,9357.78
"116",1986,11106.11
"117",1987,11686.04
"118",1988,13623.89
"119",1989,17949.04
"120",1990,17387.3
"121",1991,22695.96
"122",1992,24426.48
"123",1993,26887.22
"124",1994,27228.26
"125",1995,37521.11
"126",1996,46052.33
"127",1997,61445.63
"128",1998,78730.63
"129",1999,95290.74
