"","Year","Cases","Vaccine"
"1",1950,319124,"no"
"2",1951,530118,"no"
"3",1952,683077,"no"
"4",1953,449146,"no"
"5",1954,682720,"no"
"6",1955,555156,"no"
"7",1956,611936,"no"
"8",1957,486799,"no"
"9",1958,763094,"no"
"10",1959,406162,"no"
"11",1960,441703,"no"
"12",1961,423919,"no"
"13",1962,481530,"no"
"14",1963,385156,"yes"
"15",1964,458053,"yes"
"16",1965,261904,"yes"
"17",1966,204136,"yes"
"18",1967,62705,"yes"
"19",1968,22231,"yes"
"20",1969,25826,"yes"
"21",1970,47351,"yes"
"22",1971,75290,"yes"
"23",1972,32275,"yes"
"24",1973,26690,"yes"
"25",1974,22094,"yes"
"26",1975,24371,"yes"
"27",1976,41126,"yes"
"28",1977,57345,"yes"
"29",1978,26871,"yes"
"30",1979,13597,"yes"
"31",1980,13506,"yes"
"32",1981,3124,"yes"
"33",1982,1714,"yes"
"34",1983,1497,"yes"
"35",1984,2587,"yes"
"36",1985,2822,"yes"
"37",1986,6282,"yes"
"38",1987,3655,"yes"
"39",1988,3396,"yes"
"40",1989,18193,"yes"
"41",1990,27786,"yes"
"42",1991,9643,"yes"
"43",1992,2237,"yes"
"44",1993,312,"yes"
"45",1994,963,"yes"
"46",1995,309,"yes"
"47",1996,508,"yes"
"48",1997,138,"yes"
"49",1998,100,"yes"
"50",1999,100,"yes"
"51",2000,86,"yes"
"52",2001,116,"yes"
"53",2002,44,"yes"
"54",2003,56,"yes"
"55",2004,37,"yes"
"56",2005,66,"yes"
"57",2006,55,"yes"
"58",2007,43,"yes"
"59",2008,132,"yes"
