"","Year","Month","SOI","SST"
"1",1950,1,5.5,23.49
"2",1950,2,8.2,24.56
"3",1950,3,7.2,25.59
"4",1950,4,4.3,23.84
"5",1950,5,2.6,23.41
"6",1950,6,4.5,21.7
"7",1950,7,4.2,20.74
"8",1950,8,3.6,20.52
"9",1950,9,3.5,19.82
"10",1950,10,5.7,20.19
"11",1950,11,4.8,20.46
"12",1950,12,8,21.92
"13",1951,1,7.2,25.13
"14",1951,2,5.9,25.44
"15",1951,3,3,25.9
"16",1951,4,1.4,25.29
"17",1951,5,0,24.9
"18",1951,6,1,24.56
"19",1951,7,-1.1,24.04
"20",1951,8,0.8,22.43
"21",1951,9,0.4,21.52
"22",1951,10,0.9,22.2
"23",1951,11,1.6,22.9
"24",1951,12,2.1,23.01
"25",1952,1,2.7,24.47
"26",1952,2,3.1,26.42
"27",1952,3,4.2,26.51
"28",1952,4,1.5,24.54
"29",1952,5,2.6,23.69
"30",1952,6,2.1,22.35
"31",1952,7,1.7,20.74
"32",1952,8,1.3,19.95
"33",1952,9,2,20.12
"34",1952,10,3.4,20.45
"35",1952,11,3,20.72
"36",1952,12,1.2,22.53
"37",1953,1,4.9,24.19
"38",1953,2,3.3,26.33
"39",1953,3,2.9,27.21
"40",1953,4,2.3,26.85
"41",1953,5,-1.9,25.24
"42",1953,6,0.9,23.74
"43",1953,7,0.8,22.45
"44",1953,8,-1,21.68
"45",1953,9,0.1,21.49
"46",1953,10,2.8,21.08
"47",1953,11,2.5,22.07
"48",1953,12,2.6,22.47
"49",1954,1,5.6,23.06
"50",1954,2,3.7,25.22
"51",1954,3,3.7,25.83
"52",1954,4,3.1,23.05
"53",1954,5,2.1,21.79
"54",1954,6,0.9,21.01
"55",1954,7,1.5,19.89
"56",1954,8,3.2,19.78
"57",1954,9,2.7,19.23
"58",1954,10,3.2,19.2
"59",1954,11,3.3,20.47
"60",1954,12,6,21.25
"61",1955,1,3.4,23.7
"62",1955,2,7.7,24.64
"63",1955,3,4.4,25.51
"64",1955,4,1.7,24.34
"65",1955,5,3.1,22.53
"66",1955,6,3.1,21.12
"67",1955,7,3.7,20.56
"68",1955,8,3.9,19.75
"69",1955,9,4.8,19.47
"70",1955,10,5.5,19.35
"71",1955,11,5.3,20
"72",1955,12,5.3,21.1
"73",1956,1,6.8,23.67
"74",1956,2,7.2,24.78
"75",1956,3,5.7,25.76
"76",1956,4,3.6,25.06
"77",1956,5,3.8,23.3
"78",1956,6,2.7,22.29
"79",1956,7,2.8,21.62
"80",1956,8,3.4,20.66
"81",1956,9,2.5,19.98
"82",1956,10,6,19.84
"83",1956,11,3.3,20.86
"84",1956,12,5.4,21.6
"85",1957,1,5.5,23.25
"86",1957,2,4.1,26.32
"87",1957,3,3.6,27.47
"88",1957,4,2.4,26.86
"89",1957,5,0,26.29
"90",1957,6,1,24.92
"91",1957,7,1.2,23.82
"92",1957,8,0.3,22.33
"93",1957,9,0.7,21.88
"94",1957,10,2.8,21.76
"95",1957,11,1.2,22.4
"96",1957,12,2.9,23.75
"97",1958,1,0.9,24.96
"98",1958,2,3.3,26.74
"99",1958,3,3.7,27.07
"100",1958,4,2.6,26.45
"101",1958,5,0.3,25.08
"102",1958,6,1.2,23.04
"103",1958,7,1.5,22.38
"104",1958,8,2.9,20.56
"105",1958,9,1.8,20.72
"106",1958,10,2.8,20.96
"107",1958,11,2.2,21.64
"108",1958,12,2.3,22.47
"109",1959,1,2.7,24.09
"110",1959,2,1.7,25.68
"111",1959,3,5.6,27.07
"112",1959,4,2.7,25.89
"113",1959,5,2.1,24.26
"114",1959,6,0.5,22.63
"115",1959,7,0.3,21.45
"116",1959,8,1,20.34
"117",1959,9,2.4,20.41
"118",1959,10,3.6,20.91
"119",1959,11,4.7,21.99
"120",1959,12,5.1,22.69
"121",1960,1,4.6,24.57
"122",1960,2,4.4,25.72
"123",1960,3,5.1,26.15
"124",1960,4,3.4,24.72
"125",1960,5,2.2,23.76
"126",1960,6,0.9,22.15
"127",1960,7,1.7,21.01
"128",1960,8,2.7,20.37
"129",1960,9,3.6,20.54
"130",1960,10,2.9,20.22
"131",1960,11,4,20.91
"132",1960,12,4.9,22.74
"133",1961,1,3.9,24.45
"134",1961,2,5.9,26.55
"135",1961,3,-0.1,25.91
"136",1961,4,3.4,24.97
"137",1961,5,1.8,23.71
"138",1961,6,0.9,22.39
"139",1961,7,1.2,20.55
"140",1961,8,1.5,19.96
"141",1961,9,2.5,19.75
"142",1961,10,2.1,20
"143",1961,11,4,21.07
"144",1961,12,6.2,22.06
"145",1962,1,8,24.11
"146",1962,2,3.7,25.55
"147",1962,3,3.5,24.63
"148",1962,4,2.3,23.57
"149",1962,5,3.2,23.48
"150",1962,6,2,21.85
"151",1962,7,0.9,20.57
"152",1962,8,2.4,20.37
"153",1962,9,3.2,20.16
"154",1962,10,4.5,19.92
"155",1962,11,3.6,20.88
"156",1962,12,3.8,21.83
"157",1963,1,6.3,24.11
"158",1963,2,5.3,25.36
"159",1963,3,5.3,25.88
"160",1963,4,3.4,24.54
"161",1963,5,1.9,24.17
"162",1963,6,-0.2,22.6
"163",1963,7,0.6,22.01
"164",1963,8,1.2,21.45
"165",1963,9,1.3,21.15
"166",1963,10,0.5,21
"167",1963,11,1.5,21.92
"168",1963,12,1.2,22.83
"169",1964,1,3.7,24.17
"170",1964,2,4.3,24.98
"171",1964,3,5.3,25.04
"172",1964,4,4,24.53
"173",1964,5,1.6,21.96
"174",1964,6,2.1,21.27
"175",1964,7,1.8,20.43
"176",1964,8,4,19.2
"177",1964,9,4.7,19.51
"178",1964,10,5.1,19.96
"179",1964,11,3.3,20.92
"180",1964,12,2.9,21.85
"181",1965,1,3.6,24.19
"182",1965,2,5,25.95
"183",1965,3,4.6,26.68
"184",1965,4,1,27.1
"185",1965,5,1.5,26.04
"186",1965,6,-0.3,24.57
"187",1965,7,-2.5,23.34
"188",1965,8,0,22.02
"189",1965,9,0,21.38
"190",1965,10,1.1,21.67
"191",1965,11,0.3,22.3
"192",1965,12,3.8,23.45
"193",1966,1,1.9,25.27
"194",1966,2,3.8,25.92
"195",1966,3,1.5,25.41
"196",1966,4,1.6,24.18
"197",1966,5,0.5,23.07
"198",1966,6,1.3,21.84
"199",1966,7,0.9,20.81
"200",1966,8,2.4,20.27
"201",1966,9,2,19.62
"202",1966,10,2.5,20.64
"203",1966,11,3,21.07
"204",1966,12,2.8,22.32
"205",1967,1,7.5,23.77
"206",1967,2,7.3,25.64
"207",1967,3,5.5,25.75
"208",1967,4,1.9,25.23
"209",1967,5,1.2,23.89
"210",1967,6,1.9,22.18
"211",1967,7,1.1,20.99
"212",1967,8,2.6,19.73
"213",1967,9,3.3,19.18
"214",1967,10,2.8,19.41
"215",1967,11,2.2,20.21
"216",1967,12,2.4,21.3
"217",1968,1,5.3,23.17
"218",1968,2,6.6,24.79
"219",1968,3,3.4,25.17
"220",1968,4,2,24.09
"221",1968,5,3.5,22.54
"222",1968,6,2.7,21.6
"223",1968,7,2,21.13
"224",1968,8,1.7,20.73
"225",1968,9,1.9,20.86
"226",1968,10,2.6,21.16
"227",1968,11,2.4,21.35
"228",1968,12,3.8,22.99
"229",1969,1,1.6,24.76
"230",1969,2,3.2,25.55
"231",1969,3,4,26.88
"232",1969,4,1.3,26.42
"233",1969,5,0.8,25.97
"234",1969,6,1.1,24.3
"235",1969,7,-0.1,22.24
"236",1969,8,1,21.01
"237",1969,9,0.6,20.68
"238",1969,10,1,21.8
"239",1969,11,2.9,22.33
"240",1969,12,4.2,23.45
"241",1970,1,2.3,24.92
"242",1970,2,2.3,25.63
"243",1970,3,4.3,25.57
"244",1970,4,1.8,24.48
"245",1970,5,1.9,23.13
"246",1970,6,2.5,21.33
