"","Country","PctCatholic","PriestParishRatio","PctIndigenous"
"1","Argentina",95.8,2,59
"2","Bolivia",93.2,1.8,30
"3","Brazil",90.2,1.5,58
"4","Chile",84.3,3,45
"5","Ecuador",96.7,2.7,76
"6","El Salvador",96.8,1.1,61
"7","Guatemala",95,1.2,13
"8","Honduras",96.3,0.9,21
"9","Nicaragua",95.5,1.4,NA
"10","Uruguay",61,3.8,64
"11","Australia",28.6,10.8,90
"12","France",80.3,2,94
"13","Great Britain",13,10.5,90
"14","India",1.2,11.9,88
"15","Poland",82.1,6.7,100
"16","South Korea",3.6,8,71
"17","Spain",97.6,4.4,99
"18","Sweden",1.2,10.4,NA
"19","Switzerland",49.6,8.3,90
"20","United States",28.1,9.8,95
"21","West Germany",48.5,4.9,96
