"","State","M.V.89","M.V.96","M.V.97","M.V.98","M.V.99"
"1","Alabama",0.969,0.988,0.989,0.993,0.989
"2","Alaska",0.973,0.985,0.994,0.998,0.996
"3","Arizona",0.991,0.992,0.998,1.006,1.002
"4","Arkansas",0.98,0.989,0.984,0.977,0.988
"5","California",1.022,1.032,1.036,1.038,1.034
"6","Colorado",0.993,1.004,1.006,1.009,1.007
"7","Connecticut",0.973,0.994,0.996,0.998,0.998
"8","Delaware",0.965,0.974,0.986,0.984,0.988
"9","D.C.",0.969,0.967,0.969,0.975,0.968
"10","Florida",0.994,0.996,1,1.002,0.998
"11","Georgia",0.992,0.986,0.99,0.992,0.99
"12","Hawaii",1.052,1.052,1.052,1.062,1.064
"13","Idaho",0.967,0.987,0.991,0.998,0.996
"14","Illinois",1.004,1.02,1.028,1.03,1.028
"15","Indiana",0.994,1,1.006,1.006,1.004
"16","Iowa",1,1.017,1.02,1.013,1.007
"17","Kansas",0.986,0.986,0.995,1.005,0.997
"18","Kentucky",0.976,0.991,0.996,1.005,1
"19","Louisiana",0.973,0.984,0.988,0.993,0.995
"20","Maine",0.97,0.988,0.994,0.994,0.992
"21","Maryland",0.99,0.994,1,1.004,1
"22","Massachusetts",0.98,0.994,1,1,1
"23","Michigan",1,1.014,1.016,1.02,1.014
"24","Minnesota",1,1.019,1.017,1.022,1.02
"25","Mississippi",0.98,0.979,0.972,0.977,0.973
"26","Missouri",0.985,0.998,1.002,1.005,1
"27","Montana",0.994,1.002,1.006,1.006,1.002
"28","Nebraska",0.996,1.002,1.004,1.011,1.005
"29","Nevada",0.992,0.998,1.002,1.006,1.01
"30","New Hampshire",0.973,0.988,0.994,0.994,0.996
"31","New Jersey",0.994,1.004,1.022,1.022,1.024
"32","New Mexico",0.986,0.989,0.984,0.995,0.987
"33","New York",1.002,1.004,1.014,1.016,1.014
"34","North Carolina",0.989,0.992,0.996,1.004,1
"35","North Dakota",1.012,1.005,1.012,1.015,1.019
"36","Ohio",0.985,0.998,1.002,1.007,1.064
"37","Oklahoma",0.978,0.984,0.986,0.993,0.988
"38","Oregon",0.981,0.996,0.998,1,1
"39","Pennsylvania",0.978,0.988,0.994,0.996,0.994
"40","Rhode Island",0.972,0.98,0.988,0.988,0.99
"41","South Carolina",0.985,0.988,0.99,0.99,0.992
"42","South Dakota",0.977,0.986,0.993,0.995,1.005
"43","Tennessee",0.966,0.98,0.986,0.988,0.989
"44","Texas",0.996,1.01,1.014,1.014,1.01
"45","Utah",0.97,0.986,0.99,0.997,0.996
"46","Vermont",0.971,0.988,0.988,0.992,0.984
"47","Virginia",0.982,0.978,0.982,0.984,0.982
"48","Washington",0.983,1,1,1.004,1.002
"49","West Virginia",0.981,0.962,0.969,0.977,0.972
"50","Wisconsin",1.002,1.016,1.019,1.022,1.019
"51","Wyoming",0.998,1,1,0.996,1.009
