"","Gene","GeneName","pValue"
"1",1,"AT1G01880",1
"2",2,"AT1G02210",0.003926161
"3",3,"AT1G02510",0.003926161
"4",4,"AT1G03103",0.003926161
"5",5,"AT1G03320",0.377724156
"6",6,"AT1G03840",0.409748158
"7",7,"AT1G04180",0.377724156
"8",8,"AT1G04370",0.377724156
"9",9,"AT1G05800",0.67585379
"10",10,"AT1G06080",0.377724156
"11",11,"AT1G06360",0.409724655
"12",12,"AT1G06660",1
"13",13,"AT1G07119",0.409744225
"14",14,"AT1G07120",0.377724156
"15",15,"AT1G08670",0.003926161
"16",16,"AT1G09480",0.030356687
"17",17,"AT1G10790",0.496794953
"18",18,"AT1G11160",0.190163803
"19",19,"AT1G11340",0.190163803
"20",20,"AT1G11915",1
"21",21,"AT1G12300",0.114275753
"22",22,"AT1G13830",0.087982859
"23",23,"AT1G14220",0.003926161
"24",24,"AT1G14950",0.003926161
"25",25,"AT1G15760",0.67585379
"26",26,"AT1G16160",0.003926161
"27",27,"AT1G17000",0.003926161
"28",28,"AT1G17990",1
"29",29,"AT1G20480",0.40973865
"30",30,"AT1G20570",0.049785075
"31",31,"AT1G21110",0.022988249
"32",32,"AT1G21970",0.67585379
"33",33,"AT1G23350",0.003926161
"34",34,"AT1G23600",0.67585379
"35",35,"AT1G24320",0.030356687
"36",36,"AT1G24620",0.190163803
"37",37,"AT1G26558",0.049785075
"38",38,"AT1G26790",0.003926161
"39",39,"AT1G26799",0.003926161
"40",40,"AT1G29510",0.049785075
"41",41,"AT1G29680",0.377724156
"42",42,"AT1G30170",0.190163803
"43",43,"AT1G30560",0.377724156
"44",44,"AT1G30795",0.003926161
"45",45,"AT1G30980",0.190163803
"46",46,"AT1G31250",0.496794953
"47",47,"AT1G31670",0.67585379
"48",48,"AT1G32049",0.030356687
"49",49,"AT1G32970",0.010276772
"50",50,"AT1G33475",0.087982859
"51",51,"AT1G33750",0.003926161
"52",52,"AT1G33770",0.190163803
"53",53,"AT1G34500",0.377724156
"54",54,"AT1G34520",0.003926161
"55",55,"AT1G35490",0.003926161
"56",56,"AT1G35890",0.049785075
"57",57,"AT1G36105",0.67585379
"58",58,"AT1G36250",0.003926161
"59",59,"AT1G36445",0.003926161
"60",60,"AT1G36500",0.003926161
"61",61,"AT1G37275",0.67585379
