"","Months","Group","Survived","Died"
"1",3,"radiation",11,2
"2",3,"no",16,1
"3",7,"radiation",11,0
"4",7,"no",15,1
"5",9,"radiation",11,0
"6",9,"no",13,2
"7",10,"radiation",10,1
"8",10,"no",13,0
"9",11,"radiation",9,1
"10",11,"no",13,0
"11",12,"radiation",8,1
"12",12,"no",13,0
"13",16,"radiation",8,0
"14",16,"no",12,1
"15",18,"radiation",7,1
"16",18,"no",10,0
"17",21,"radiation",6,1
"18",21,"no",9,0
"19",22,"radiation",5,1
"20",22,"no",9,0
"21",23,"radiation",4,1
"22",23,"no",9,0
"23",24,"radiation",4,0
"24",24,"no",8,1
"25",32,"radiation",4,0
"26",32,"no",5,1
"27",33,"radiation",3,1
"28",33,"no",5,0
"29",36,"radiation",2,1
"30",36,"no",5,0
"31",41,"radiation",2,0
"32",41,"no",3,1
"33",48,"radiation",1,1
"34",48,"no",3,0
