"","Order","N","n"
"1","Anseriformes",150,5
"2","Apodiformes",424,3
"3","Caprimulgiformes",118,8
"4","Casuariiformes",4,2
"5","Charadriiformes",343,62
"6","Ciconiiformes",114,14
"7","Coliiformes",6,1
"8","Columbiformes",309,2
"9","Coraciiformes",213,8
"10","Cuculiformes",159,3
"11","Falconiformes",308,31
"12","Galbuliformes",54,2
"13","Galliformes",281,24
"14","Gruiformes",204,21
"15","Musophagiformes",23,1
"16","Opisthodomiformes",1,0
"17","Passeriformes",5920,179
"18","Pelecaniformes",65,6
"19","Phoenicopteriformes",5,1
"20","Piciformes",344,2
"21","Podicipediformes",22,1
"22","Procellariiformes",108,5
"23","Psittaciformes",353,1
"24","Pterocliformes",16,3
"25","Sphenisciformes",17,1
"26","Strigiformes",209,2
"27","Struthioniformes",10,5
"28","Tinamiformes",47,19
"29","Trogoniformes",39,2
