"","Make","VehicleAge","Passengers","Cause"
"1","Other",1,0,"NotTire"
"2","Other",1,0,"NotTire"
"3","Other",1,0,"NotTire"
"4","Other",1,0,"NotTire"
"5","Other",1,0,"NotTire"
"6","Other",1,3,"NotTire"
"7","Other",1,0,"NotTire"
"8","Other",1,2,"NotTire"
"9","Other",1,0,"NotTire"
"10","Other",1,2,"NotTire"
"11","Other",1,0,"NotTire"
"12","Other",1,0,"NotTire"
"13","Other",1,1,"NotTire"
"14","Other",1,0,"NotTire"
"15","Other",1,0,"NotTire"
"16","Other",1,1,"NotTire"
"17","Other",1,3,"NotTire"
"18","Other",1,2,"NotTire"
"19","Other",1,0,"NotTire"
"20","Other",1,3,"NotTire"
"21","Other",1,0,"NotTire"
"22","Other",1,2,"NotTire"
"23","Other",1,0,"NotTire"
"24","Other",1,1,"NotTire"
"25","Other",1,1,"NotTire"
"26","Other",1,0,"NotTire"
"27","Other",1,0,"NotTire"
"28","Other",1,0,"NotTire"
"29","Other",1,1,"NotTire"
"30","Other",1,1,"NotTire"
"31","Other",1,0,"NotTire"
"32","Other",1,0,"NotTire"
"33","Other",1,1,"NotTire"
"34","Other",1,3,"NotTire"
"35","Other",1,6,"NotTire"
"36","Other",1,0,"NotTire"
"37","Other",1,0,"NotTire"
"38","Other",1,1,"NotTire"
"39","Other",1,0,"NotTire"
"40","Other",1,0,"NotTire"
"41","Other",1,1,"NotTire"
"42","Other",1,0,"NotTire"
"43","Other",1,1,"NotTire"
"44","Other",1,5,"NotTire"
"45","Other",1,1,"NotTire"
"46","Other",1,3,"NotTire"
"47","Other",1,0,"NotTire"
"48","Other",1,3,"NotTire"
"49","Other",1,0,"NotTire"
"50","Other",1,0,"NotTire"
"51","Other",1,0,"NotTire"
"52","Other",1,0,"NotTire"
"53","Other",1,1,"NotTire"
"54","Other",1,0,"NotTire"
"55","Other",1,1,"NotTire"
"56","Other",1,1,"NotTire"
"57","Other",1,1,"NotTire"
"58","Other",1,0,"NotTire"
"59","Other",1,2,"NotTire"
"60","Other",1,0,"NotTire"
"61","Other",1,0,"NotTire"
"62","Other",1,0,"NotTire"
"63","Other",1,2,"NotTire"
"64","Other",1,2,"NotTire"
"65","Other",1,0,"NotTire"
"66","Other",1,2,"NotTire"
"67","Other",1,0,"NotTire"
"68","Other",1,1,"NotTire"
"69","Other",1,0,"NotTire"
"70","Other",1,0,"NotTire"
"71","Other",1,1,"NotTire"
"72","Other",1,3,"NotTire"
"73","Other",1,1,"NotTire"
"74","Other",1,1,"NotTire"
"75","Other",1,1,"NotTire"
"76","Other",1,1,"NotTire"
"77","Other",1,0,"NotTire"
"78","Other",1,3,"NotTire"
"79","Other",1,1,"NotTire"
"80","Other",1,1,"NotTire"
"81","Other",1,0,"NotTire"
"82","Other",1,0,"NotTire"
"83","Other",1,2,"NotTire"
"84","Other",1,4,"NotTire"
"85","Other",1,1,"NotTire"
"86","Other",1,1,"NotTire"
"87","Other",1,2,"NotTire"
"88","Other",1,0,"NotTire"
"89","Other",1,0,"NotTire"
"90","Other",1,0,"NotTire"
"91","Other",1,0,"NotTire"
"92","Other",1,2,"NotTire"
"93","Other",1,0,"NotTire"
"94","Other",1,0,"NotTire"
"95","Other",1,4,"NotTire"
"96","Other",1,1,"NotTire"
"97","Other",1,4,"NotTire"
"98","Other",1,4,"NotTire"
"99","Other",1,0,"NotTire"
