"","Date","Months","Result"
"1","Mar-83",0,"Failure"
"2","Jun-83",3,"Failure"
"3","Dec-83",9,"Failure"
"4","Jun-84",15,"Success"
"5","Jan-91",94,"Success"
"6","Apr-92",109,"Failure"
"7","Jul-92",112,"Failure"
"8","Jul-93",124,"Failure"
"9","Mar-95",144,"Failure"
"10","May-95",146,"Failure"
"11","Dec-95",153,"Failure"
"12","Apr-96",157,"Failure"
"13","Aug-96",161,"Failure"
"14","Mar-97",168,"Failure"
"15","Jun-98",183,"Failure"
"16","Apr-99",193,"Failure"
"17","Jul-99",196,"Success"
