"","Student","PriorExp","Treatment","Day","Success"
"1",1,-7,"dull",1,10
"2",1,-7,"dull",2,13
"3",1,-7,"dull",3,12
"4",1,-7,"dull",4,12
"5",1,-7,"dull",5,9
"6",2,-6,"bright",1,18
"7",2,-6,"bright",2,20
"8",2,-6,"bright",3,21
"9",2,-6,"bright",4,23
"10",2,-6,"bright",5,30
"11",3,-5,"bright",1,16
"12",3,-5,"bright",2,14
"13",3,-5,"bright",3,20
"14",3,-5,"bright",4,20
"15",3,-5,"bright",5,20
"16",4,1,"dull",1,11
"17",4,1,"dull",2,20
"18",4,1,"dull",3,27
"19",4,1,"dull",4,17
"20",4,1,"dull",5,16
"21",5,2,"bright",1,27
"22",5,2,"bright",2,24
"23",5,2,"bright",3,26
"24",5,2,"bright",4,28
"25",5,2,"bright",5,27
"26",6,2,"dull",1,16
"27",6,2,"dull",2,14
"28",6,2,"dull",3,14
"29",6,2,"dull",4,13
"30",6,2,"dull",5,15
"31",7,3,"dull",1,8
"32",7,3,"dull",2,10
"33",7,3,"dull",3,21
"34",7,3,"dull",4,10
"35",7,3,"dull",5,20
"36",8,3,"bright",1,13
"37",8,3,"bright",2,20
"38",8,3,"bright",3,18
"39",8,3,"bright",4,20
"40",8,3,"bright",5,22
"41",9,3,"bright",1,24
"42",9,3,"bright",2,23
"43",9,3,"bright",3,27
"44",9,3,"bright",4,29
"45",9,3,"bright",5,27
"46",10,7,"dull",1,13
"47",10,7,"dull",2,12
"48",10,7,"dull",3,23
"49",10,7,"dull",4,17
"50",10,7,"dull",5,16
"51",11,9,"dull",1,9
"52",11,9,"dull",2,15
"53",11,9,"dull",3,24
"54",11,9,"dull",4,12
"55",11,9,"dull",5,11
"56",12,10,"bright",1,19
"57",12,10,"bright",2,17
"58",12,10,"bright",3,23
"59",12,10,"bright",4,33
"60",12,10,"bright",5,29
