"","Exposure","YearsAfter","AtRisk","Deaths"
"1",0,"0to7",262,10
"2",0,"8to11",243,12
"3",0,"12to15",240,19
"4",0,"16to19",237,31
"5",0,"20to23",233,35
"6",0,"24to27",227,48
"7",0,"28to31",220,73
"8",25,"0to7",313,17
"9",25,"8to11",290,17
"10",25,"12to15",285,17
"11",25,"16to19",280,47
"12",25,"20to23",275,50
"13",25,"24to27",269,65
"14",25,"28to31",262,71
"15",75,"0to7",38,0
"16",75,"8to11",36,2
"17",75,"12to15",35,1
"18",75,"16to19",34,5
"19",75,"20to23",34,8
"20",75,"24to27",33,7
"21",75,"28to31",32,12
"22",150,"0to7",28,1
"23",150,"8to11",26,0
"24",150,"12to15",25,4
"25",150,"16to19",25,1
"26",150,"20to23",24,6
"27",150,"24to27",24,12
"28",150,"28to31",23,11
"29",250,"0to7",13,1
"30",250,"8to11",12,1
"31",250,"12to15",12,0
"32",250,"16to19",12,4
"33",250,"20to23",11,3
"34",250,"24to27",11,7
"35",250,"28to31",10,13
"36",400,"0to7",15,0
"37",400,"8to11",14,2
"38",400,"12to15",14,5
"39",400,"16to19",14,3
"40",400,"20to23",13,2
"41",400,"24to27",13,3
"42",400,"28to31",13,5
