"","Count","Book","Word"
"1",147,"Sense&Sensibility","a"
"2",25,"Sense&Sensibility","an"
"3",32,"Sense&Sensibility","this"
"4",94,"Sense&Sensibility","that"
"5",59,"Sense&Sensibility","with"
"6",18,"Sense&Sensibility","without"
"7",186,"Emma","a"
"8",26,"Emma","an"
"9",39,"Emma","this"
"10",105,"Emma","that"
"11",74,"Emma","with"
"12",10,"Emma","without"
"13",101,"SanditonI","a"
"14",11,"SanditonI","an"
"15",15,"SanditonI","this"
"16",37,"SanditonI","that"
"17",28,"SanditonI","with"
"18",10,"SanditonI","without"
"19",83,"SanditonII","a"
"20",29,"SanditonII","an"
"21",15,"SanditonII","this"
"22",22,"SanditonII","that"
"23",43,"SanditonII","with"
"24",4,"SanditonII","without"
