"","System","Operator","Valve","Size","Mode","Failures","Time"
"1",1,3,4,3,1,2,4
"2",1,3,4,3,2,2,4
"3",1,3,5,1,1,1,2
"4",2,1,2,2,2,0,2
"5",2,1,3,2,1,0,2
"6",2,1,3,2,2,0,1
"7",2,1,5,1,1,2,4
"8",2,1,5,1,2,4,6
"9",2,1,5,2,1,1,1
"10",2,1,5,2,2,2,1
"11",2,2,5,2,2,3,2
"12",2,3,4,2,1,0,2
"13",2,3,4,2,2,0,4
"14",2,3,4,3,1,0,3
"15",2,3,4,3,2,0,1
"16",2,3,5,1,1,1,2
"17",2,3,5,2,2,0,4
"18",2,3,5,3,2,0,2
"19",2,4,3,1,2,0,1
"20",2,4,3,2,1,0,1
"21",2,4,4,1,1,2,1
"22",2,4,5,2,1,0,2
"23",3,1,1,2,1,1,36
"24",3,1,1,2,2,2,4
"25",3,1,1,3,2,0,2
"26",3,1,2,2,1,0,2
"27",3,1,2,3,1,3,8
"28",3,1,3,2,1,1,15
"29",3,1,3,2,2,0,4
"30",3,1,4,1,1,0,1
"31",3,1,4,1,2,0,2
"32",3,1,4,2,1,5,11
"33",3,1,4,2,2,23,6
"34",3,1,4,3,2,21,4
"35",3,1,5,1,1,0,4
"36",3,1,5,1,2,0,4
"37",3,1,5,2,1,11,31
"38",3,1,5,2,2,3,31
"39",3,1,5,3,2,2,1
"40",3,1,6,2,1,1,2
"41",3,1,6,2,2,0,1
"42",3,1,6,3,2,0,1
"43",3,2,6,2,2,1,2
"44",3,3,2,2,1,0,1
"45",3,3,2,3,2,0,1
"46",3,3,4,1,1,0,7
"47",3,3,4,1,2,0,4
"48",3,3,4,2,1,8,8
"49",3,3,4,2,2,0,3
"50",3,3,4,3,1,13,2
"51",3,3,4,3,2,3,3
"52",3,3,5,1,2,0,3
"53",3,3,5,2,2,0,5
"54",3,4,4,2,2,1,4
"55",3,4,4,3,2,1,10
"56",3,4,5,2,2,0,4
"57",4,3,3,3,2,2,1
"58",4,3,4,2,1,2,8
"59",4,3,4,2,2,0,4
"60",4,3,4,3,2,7,3
"61",4,3,5,1,2,0,1
"62",5,1,2,2,1,0,3
"63",5,1,2,2,2,0,2
"64",5,1,2,3,1,0,1
"65",5,1,2,3,2,0,5
"66",5,1,3,1,1,0,1
"67",5,1,3,1,2,0,3
"68",5,1,3,2,2,0,2
"69",5,1,4,2,1,3,4
"70",5,1,4,2,2,0,4
"71",5,1,5,1,1,3,1
"72",5,1,5,1,2,2,3
"73",5,1,5,2,2,0,8
"74",5,1,6,1,1,0,1
"75",5,1,6,2,2,0,2
"76",5,2,3,2,2,0,11
"77",5,2,4,1,1,0,1
"78",5,3,2,2,1,0,1
"79",5,3,2,2,2,0,2
"80",5,3,2,3,1,2,4
"81",5,3,2,3,2,0,2
"82",5,3,4,2,1,2,5
"83",5,3,4,2,2,1,14
"84",5,3,5,2,2,0,2
"85",5,4,3,1,1,1,5
"86",5,4,3,1,2,0,2
"87",5,4,3,2,1,0,3
"88",5,4,4,1,2,0,1
"89",5,4,4,2,1,0,1
"90",5,4,5,2,2,0,1
