"","Percent","Treatment","Location","Photolyase"
"1",6,"NoFilter","ThreeCreeks",7.5
"2",4.7,"NoFilter","ThreeCreeks",7.5
"3",0.7,"NoFilter","ThreeCreeks",7.5
"4",1.5,"NoFilter","SparksLake",7.5
"5",0.8,"NoFilter","SparksLake",7.5
"6",2.9,"NoFilter","SparksLake",7.5
"7",3.9,"NoFilter","SparksLake",7.5
"8",38.7,"NoFilter","ThreeCreeks",2.4
"9",44,"NoFilter","ThreeCreeks",2.4
"10",30,"NoFilter","ThreeCreeks",2.4
"11",38.7,"NoFilter","ThreeCreeks",2.4
"12",36.7,"NoFilter","SmallLake",2.4
"13",69.6,"NoFilter","SmallLake",2.4
"14",39.3,"NoFilter","SmallLake",2.4
"15",34,"NoFilter","SmallLake",2.4
"16",42,"NoFilter","ThreeCreeks",1.3
"17",50.7,"NoFilter","ThreeCreeks",1.3
"18",32.7,"NoFilter","ThreeCreeks",1.3
"19",44,"NoFilter","ThreeCreeks",1.3
"20",54,"NoFilter","LostLake",1.3
"21",54.7,"NoFilter","LostLake",1.3
"22",48,"NoFilter","LostLake",1.3
"23",36.7,"NoFilter","LostLake",1.3
"24",0.9,"UV-BTransmitting","ThreeCreeks",7.5
"25",6.7,"UV-BTransmitting","ThreeCreeks",7.5
"26",2.7,"UV-BTransmitting","ThreeCreeks",7.5
"27",0.7,"UV-BTransmitting","ThreeCreeks",7.5
"28",0.7,"UV-BTransmitting","SparksLake",7.5
"29",2.1,"UV-BTransmitting","SparksLake",7.5
"30",0,"UV-BTransmitting","SparksLake",7.5
"31",1.4,"UV-BTransmitting","SparksLake",7.5
"32",28.7,"UV-BTransmitting","ThreeCreeks",2.4
"33",32.7,"UV-BTransmitting","ThreeCreeks",2.4
"34",36,"UV-BTransmitting","ThreeCreeks",2.4
"35",40.7,"UV-BTransmitting","ThreeCreeks",2.4
"36",70,"UV-BTransmitting","SmallLake",2.4
"37",54,"UV-BTransmitting","SmallLake",2.4
"38",48.7,"UV-BTransmitting","SmallLake",2.4
"39",51.3,"UV-BTransmitting","SmallLake",2.4
"40",47.3,"UV-BTransmitting","ThreeCreeks",1.3
"41",22,"UV-BTransmitting","ThreeCreeks",1.3
"42",37.3,"UV-BTransmitting","ThreeCreeks",1.3
"43",43.3,"UV-BTransmitting","ThreeCreeks",1.3
"44",46,"UV-BTransmitting","LostLake",1.3
"45",46.7,"UV-BTransmitting","LostLake",1.3
"46",36,"UV-BTransmitting","LostLake",1.3
"47",35.3,"UV-BTransmitting","LostLake",1.3
"48",4.7,"UV-BBlocking","ThreeCreeks",7.5
"49",0.7,"UV-BBlocking","ThreeCreeks",7.5
"50",4.7,"UV-BBlocking","ThreeCreeks",7.5
"51",0.7,"UV-BBlocking","ThreeCreeks",7.5
"52",4.5,"UV-BBlocking","SparksLake",7.5
"53",0,"UV-BBlocking","SparksLake",7.5
"54",0,"UV-BBlocking","SparksLake",7.5
"55",0,"UV-BBlocking","SparksLake",7.5
"56",25.3,"UV-BBlocking","ThreeCreeks",2.4
"57",18.7,"UV-BBlocking","ThreeCreeks",2.4
"58",21.3,"UV-BBlocking","ThreeCreeks",2.4
"59",16.7,"UV-BBlocking","ThreeCreeks",2.4
"60",24.7,"UV-BBlocking","SmallLake",2.4
"61",25.3,"UV-BBlocking","SmallLake",2.4
"62",39.3,"UV-BBlocking","SmallLake",2.4
"63",32.7,"UV-BBlocking","SmallLake",2.4
"64",18.7,"UV-BBlocking","ThreeCreeks",1.3
"65",17.3,"UV-BBlocking","ThreeCreeks",1.3
"66",16,"UV-BBlocking","ThreeCreeks",1.3
"67",4.7,"UV-BBlocking","ThreeCreeks",1.3
"68",12.7,"UV-BBlocking","LostLake",1.3
"69",17.3,"UV-BBlocking","LostLake",1.3
"70",31.3,"UV-BBlocking","LostLake",1.3
"71",17.3,"UV-BBlocking","LostLake",1.3
